,x,y,Cancer.cells,Fibroblast,MoMacDC
cosmx_bcc_xdonor_spot_0000000024,-440319.7054651777,33724.54977811941,0.5294117647058824,0.1176470588235294,0.0
cosmx_bcc_xdonor_spot_0000000025,-440281.1270338053,34069.38311145274,0.1666666666666666,0.0,0.3333333333333333
cosmx_bcc_xdonor_spot_0000000027,-440325.1270338053,34875.21644478606,0.3333333333333333,0.0,0.0
cosmx_bcc_xdonor_spot_0000000028,-440366.293700472,35259.2497781194,0.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000029,-440286.87264784024,35642.49714654047,0.4736842105263157,0.0,0.0
cosmx_bcc_xdonor_spot_0000000030,-440270.67831585655,36049.8574704271,0.4615384615384615,0.5384615384615384,0.0
cosmx_bcc_xdonor_spot_0000000031,-440262.6466416483,36349.608601648826,0.5882352941176471,0.3529411764705882,0.0588235294117647
cosmx_bcc_xdonor_spot_0000000032,-440274.97370047175,36785.82977811942,0.6,0.4,0.0
cosmx_bcc_xdonor_spot_0000000033,-440296.96036713856,37085.88311145275,0.0666666666666666,0.5333333333333333,0.2666666666666666
cosmx_bcc_xdonor_spot_0000000189,-439915.4365576148,33374.97834954797,0.0,0.1428571428571428,0.2857142857142857
cosmx_bcc_xdonor_spot_0000000190,-439939.193700472,33723.94977811941,0.1,0.2,0.3
cosmx_bcc_xdonor_spot_0000000191,-439919.668700472,34091.7997781194,0.375,0.0,0.25
cosmx_bcc_xdonor_spot_0000000193,-439924.168700472,34918.0497781194,0.25,0.0,0.375
cosmx_bcc_xdonor_spot_0000000194,-439923.293700472,35285.21644478608,0.75,0.0,0.0833333333333333
cosmx_bcc_xdonor_spot_0000000195,-439909.59804829786,35636.114995510725,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000196,-439938.2437004718,35998.74977811942,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000197,-439931.5937004717,36404.61644478609,0.9333333333333332,0.0,0.0
cosmx_bcc_xdonor_spot_0000000198,-439930.1794147574,36778.664063833705,0.9428571428571428,0.0,0.0
cosmx_bcc_xdonor_spot_0000000199,-439909.98120047187,37053.11227811941,0.8125,0.0625,0.0
cosmx_bcc_xdonor_spot_0000000300,-439865.3797394117,75520.3375731006,0.0,0.0,0.0
