,x,y,Cancer.cells,Fibroblast,MoMacDC
cosmx_bcc_xdonor_spot_0000000111,-132631.87192749573,83365.7435265988,0.5,0.0,0.0833333333333333
cosmx_bcc_xdonor_spot_0000000112,-132651.34414971794,83700.7435265988,0.5555555555555556,0.0,0.0
cosmx_bcc_xdonor_spot_0000000114,-132569.95526082904,84428.41019326546,0.3333333333333333,0.0,0.0833333333333333
cosmx_bcc_xdonor_spot_0000000115,-132604.8124036862,84803.67209802738,0.6428571428571429,0.0,0.0
cosmx_bcc_xdonor_spot_0000000116,-132593.78859416238,85199.67685993215,0.7333333333333333,0.0,0.0
cosmx_bcc_xdonor_spot_0000000117,-132577.56637194016,85609.29908215435,0.5555555555555556,0.0,0.0
cosmx_bcc_xdonor_spot_0000000118,-132625.92894503957,85968.21721080935,0.3157894736842105,0.0,0.1052631578947368
cosmx_bcc_xdonor_spot_0000000119,-132613.70526082904,86241.32685993213,0.6666666666666666,0.0,0.0833333333333333
cosmx_bcc_xdonor_spot_0000000120,-132518.45526082904,86716.57685993213,0.5,0.0,0.0
cosmx_bcc_xdonor_spot_0000000234,-132201.05526082902,83763.3435265988,0.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000235,-132163.16954654333,84036.88638374166,0.7142857142857143,0.0,0.0
cosmx_bcc_xdonor_spot_0000000237,-132165.05526082902,84861.3435265988,0.4,0.0,0.0
cosmx_bcc_xdonor_spot_0000000238,-132169.45526082904,85175.2435265988,0.4,0.0,0.1
cosmx_bcc_xdonor_spot_0000000239,-132231.3124036862,85544.7435265988,0.4285714285714285,0.1428571428571428,0.0714285714285714
cosmx_bcc_xdonor_spot_0000000240,-132263.60910698288,85978.35891121418,0.1538461538461538,0.0,0.0
cosmx_bcc_xdonor_spot_0000000241,-132195.67748305126,86349.18797104324,0.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000242,-132268.28859416235,86656.07685993213,0.1666666666666666,0.0,0.0
cosmx_bcc_xdonor_spot_0000000355,-131842.25526082903,83247.7435265988,0.6,0.0,0.0
cosmx_bcc_xdonor_spot_0000000359,-131912.65526082902,84782.5435265988,0.2,0.2,0.0
cosmx_bcc_xdonor_spot_0000000361,-131876.53859416238,85551.9935265988,0.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000362,-131827.20526082904,85946.36852659882,0.0,0.0625,0.0
cosmx_bcc_xdonor_spot_0000000363,-131828.45526082904,86356.7435265988,0.5,0.0714285714285714,0.0
cosmx_bcc_xdonor_spot_0000000364,-131828.62917387253,86695.5261352945,0.4347826086956521,0.4782608695652174,0.0
cosmx_bcc_xdonor_spot_0000000365,-131806.78859416235,86939.91019326546,0.0,0.6666666666666666,0.1666666666666666
cosmx_bcc_xdonor_spot_0000000477,-131433.1219274957,83324.2435265988,0.1666666666666666,0.1666666666666666,0.0
cosmx_bcc_xdonor_spot_0000000479,-131500.45526082904,84076.02924088451,0.4285714285714285,0.0,0.0
cosmx_bcc_xdonor_spot_0000000482,-131386.74097511475,85207.17209802738,0.1428571428571428,0.0,0.0
cosmx_bcc_xdonor_spot_0000000483,-131460.5981179719,85598.17209802738,0.0,0.2857142857142857,0.0
cosmx_bcc_xdonor_spot_0000000484,-131409.26776082904,85921.43102659882,0.5,0.25,0.0625
cosmx_bcc_xdonor_spot_0000000485,-131437.01776082904,86342.68102659882,0.625,0.375,0.0
cosmx_bcc_xdonor_spot_0000000486,-131435.01776082904,86684.68102659882,0.4375,0.5625,0.0
cosmx_bcc_xdonor_spot_0000000487,-131468.05526082905,86969.4435265988,0.0,0.8,0.1
cosmx_bcc_xdonor_spot_0000000600,-131022.855260829,83728.3435265988,0.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000601,-131077.85526082903,84116.9435265988,0.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000602,-131002.81889719264,84445.65261750789,0.0,0.0909090909090909,0.0
cosmx_bcc_xdonor_spot_0000000603,-131041.52192749569,84864.87685993215,0.2666666666666666,0.3333333333333333,0.0666666666666666
cosmx_bcc_xdonor_spot_0000000604,-131082.8763134606,85172.79615817778,0.0,0.2631578947368421,0.1052631578947368
cosmx_bcc_xdonor_spot_0000000605,-131098.3219274957,85569.31019326553,0.0333333333333333,0.5,0.0333333333333333
cosmx_bcc_xdonor_spot_0000000606,-131108.142760829,85921.43102659882,0.3125,0.375,0.125
cosmx_bcc_xdonor_spot_0000000607,-131097.70526082904,86363.64352659884,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000608,-131078.63707901086,86680.8798902352,0.9545454545454546,0.0454545454545454,0.0
cosmx_bcc_xdonor_spot_0000000609,-131126.6219274957,86940.41019326546,0.1666666666666666,0.6666666666666666,0.1666666666666666
cosmx_bcc_xdonor_spot_0000000720,-130764.055260829,82916.3435265988,0.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000721,-130692.59811797184,83352.60066945595,0.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000722,-130707.95526082901,83734.57685993213,0.0,0.0,0.0
