spot,x,y,tumor_hat
cosmx_bcc_spot_0000000665,-496793.76388474193,35563.474301461276,0.9649873782855702
cosmx_bcc_spot_0000001062,-496428.2850769842,33003.01017128881,0.91353903861555
cosmx_bcc_spot_0000001070,-496446.3089775802,35926.629473875066,0.95783849470104
cosmx_bcc_spot_0000001460,-496033.2350769841,30843.164017442647,0.2451649976467534
cosmx_bcc_spot_0000001461,-496053.60349803674,31223.747013394095,0.9819854675069518
cosmx_bcc_spot_0000001471,-496059.3456155113,34827.474301461276,0.9500634447722422
cosmx_bcc_spot_0000001879,-495690.0331155113,36298.458172429026,0.9488013281398138
cosmx_bcc_spot_0000002269,-495350.00650555565,31200.75302843169,0.9784576324137936
cosmx_bcc_spot_0000002270,-495315.79757698416,31528.1976712888,0.5018154506973987
cosmx_bcc_spot_0000002681,-494991.2266638984,34126.52268855805,0.959280080593353
cosmx_bcc_spot_0000003088,-494642.1164488445,35201.30763479461,0.8385048903646566
cosmx_bcc_spot_0000003095,-494594.0653735758,37732.68397888063,1.0313531698551193e-15
cosmx_bcc_spot_0000003482,-494263.4850769842,31555.01017128881,0.0027080227750626
cosmx_bcc_spot_0000003585,-494237.2805758572,68903.96057774899,0.923192548087228
cosmx_bcc_spot_0000003901,-493900.23311551113,37006.0493014613,0.9999999879563006
cosmx_bcc_spot_0000003986,-493898.37581395265,67789.60343489182,0.0957106205837015
cosmx_bcc_spot_0000004291,-493530.9703711019,31944.480759524125,0.9225980563998452
cosmx_bcc_spot_0000004297,-493516.6997821778,34123.35891684591,0.9918588905625916
cosmx_bcc_spot_0000004307,-493554.11311551114,37725.934301461275,0.562324544665403
cosmx_bcc_spot_0000004395,-493506.1591472858,69560.59343489187,0.8855968730590678
cosmx_bcc_spot_0000004708,-493245.933115511,36606.97430146129,0.9716687170964824
cosmx_bcc_spot_0000004711,-493254.74740122526,37788.68858717558,4.171832675078536e-09
cosmx_bcc_spot_0000004795,-493146.8877187145,68166.13914917754,0.1735344078640045
cosmx_bcc_spot_0000004797,-493269.0360703629,68907.04574258415,0.8599129489509533
cosmx_bcc_spot_0000005098,-492811.3779341271,31588.47445700311,0.9294995136834312
cosmx_bcc_spot_0000005605,-492449.1170420226,68875.66922436556,0.9972057253372596
cosmx_bcc_spot_0000006015,-492157.7924806194,70933.02010155853,0.9618833935532282
cosmx_bcc_spot_0000006412,-491747.73334083415,68528.32117682735,0.9286988071601155
cosmx_bcc_spot_0000007219,-491004.41860674525,68177.24532678376,0.8421023356446452
cosmx_bcc_spot_0000007223,-490943.1330603293,69577.39691315273,0.9009195567318256
cosmx_bcc_spot_0000007623,-490657.7369250636,68153.68676822519,0.8886575427674976
cosmx_bcc_spot_0000008832,-489437.929091731,67042.2182909114,0.9463566618684792
cosmx_bcc_spot_0000009234,-489194.83293788484,66374.52598321914,0.5000200171089662
cosmx_bcc_spot_0000009969,-488446.77383608324,39920.849655798236,9.970514837503935e-05
cosmx_bcc_spot_0000009973,-488455.74050274986,41380.616322464906,0.0142200001141602
cosmx_bcc_spot_0000010102,-487993.98989394197,-58151.261082431105,2.2854909011176296e-11
