spot,x,y,tumor_hat
cosmx_bcc_spot_0000000256,-497172.6997821776,33875.90763479463,0.9924957852820907
cosmx_bcc_spot_0000000257,-497175.93311551126,34099.24096812794,0.9864712572216016
cosmx_bcc_spot_0000000258,-497218.7173260373,34496.8690383034,0.8964821461354975
cosmx_bcc_spot_0000000259,-497184.13837866887,34874.921669882344,0.9565984277113107
cosmx_bcc_spot_0000000260,-497130.9378774158,35205.593349080336,0.7516627086281884
cosmx_bcc_spot_0000000261,-497058.63311551086,35529.440968127965,0.942848384465747
cosmx_bcc_spot_0000000262,-497031.65811551095,35906.7243014613,0.8908098710491786
cosmx_bcc_spot_0000000263,-497093.25533773314,36316.86319035019,0.8937752091431969
cosmx_bcc_spot_0000000264,-497061.233115511,36710.3743014613,0.3510618008954504
cosmx_bcc_spot_0000000660,-496806.36644884426,33862.9743014613,0.9336384771121786
cosmx_bcc_spot_0000000661,-496763.7254232035,34103.32045530743,0.8434712741257412
cosmx_bcc_spot_0000000662,-496764.06759826984,34506.90533594404,0.9482496300766623
cosmx_bcc_spot_0000000663,-496775.1365637871,34845.07774973714,0.9844442374707489
cosmx_bcc_spot_0000000664,-496814.3456155113,35187.72430146128,0.9676137516694419
cosmx_bcc_spot_0000000665,-496793.76388474193,35563.474301461276,0.9650383460881593
cosmx_bcc_spot_0000000666,-496799.9259726541,35927.08144431842,0.9686715327190657
cosmx_bcc_spot_0000000667,-496787.36644884467,36280.1258166128,0.962621133921034
cosmx_bcc_spot_0000000668,-496792.03311551124,36652.740968127946,0.9622369434502291
cosmx_bcc_spot_0000000669,-496723.32723315794,36996.15077204953,0.962298508789914
cosmx_bcc_spot_0000001053,-496427.31200006104,29809.164017442647,0.1269307855867731
cosmx_bcc_spot_0000001054,-496391.83507698425,30161.290171288812,0.4117596279636124
cosmx_bcc_spot_0000001055,-496393.7493626985,30491.267314145967,0.8567073575551688
cosmx_bcc_spot_0000001056,-496424.7939005137,30816.921935994713,0.9838673111396499
cosmx_bcc_spot_0000001057,-496402.0078042569,31248.510171288814,0.9878962352400674
cosmx_bcc_spot_0000001058,-496407.4115475724,31617.421935994684,0.7770340907298875
cosmx_bcc_spot_0000001059,-496430.9850769842,31938.635171288817,0.9274025699212707
cosmx_bcc_spot_0000001060,-496355.01285476197,32315.45461573325,0.8395456511490001
cosmx_bcc_spot_0000001061,-496409.76139277365,32717.536487078283,0.9615732892010884
cosmx_bcc_spot_0000001062,-496428.2850769842,33003.01017128881,0.9134584070852788
cosmx_bcc_spot_0000001063,-496399.00430775346,33399.51017128882,0.968005799387053
cosmx_bcc_spot_0000001064,-496432.6842801358,33758.15184917141,0.9711748546542144
cosmx_bcc_spot_0000001065,-496429.4385209166,34114.27159875858,0.9762603060493434
cosmx_bcc_spot_0000001066,-496424.1720044001,34485.640968127955,0.9659872688129977
cosmx_bcc_spot_0000001067,-496422.12402460224,34826.034907521884,0.9691123212305348
cosmx_bcc_spot_0000001068,-496437.1581155113,35192.25555146128,0.9454264763315249
cosmx_bcc_spot_0000001069,-496429.80730905966,35561.74849500967,0.9504192364338836
cosmx_bcc_spot_0000001070,-496446.3089775802,35926.629473875066,0.9578668037100749
cosmx_bcc_spot_0000001071,-496441.61376067257,36298.103333719344,0.966821945203686
cosmx_bcc_spot_0000001072,-496412.5018655113,36665.75555146128,0.9602178096140551
cosmx_bcc_spot_0000001073,-496438.86070171813,37042.73292215093,0.9675816588219461
cosmx_bcc_spot_0000001074,-496455.3456155109,37323.1618014613,0.9703115571010439
cosmx_bcc_spot_0000001457,-495985.9493626983,29856.581599860227,1.7892879734620737e-12
cosmx_bcc_spot_0000001458,-496072.0850769842,30114.360171288798,0.21803602260739482
cosmx_bcc_spot_0000001459,-496104.1610029102,30488.158319436963,0.5957855749275173
cosmx_bcc_spot_0000001460,-496033.2350769841,30843.164017442647,0.24506735571646354
cosmx_bcc_spot_0000001461,-496053.60349803674,31223.747013394095,0.9823374540504493
cosmx_bcc_spot_0000001462,-496057.3779341271,31573.760171288824,0.921950476419758
cosmx_bcc_spot_0000001463,-496031.1150769842,31924.29017128882,0.9510637382859313
cosmx_bcc_spot_0000001464,-496065.1398388887,32283.65302843169,0.9362012936591471
cosmx_bcc_spot_0000001465,-496067.8779341271,32685.367314145966,0.9667574512245707
cosmx_bcc_spot_0000001466,-496048.75507698423,33052.53017128882,0.9216439962055208
cosmx_bcc_spot_0000001467,-496079.0291946313,33397.01017128883,0.9591978976344059
cosmx_bcc_spot_0000001468,-496077.0988971067,33761.3522819952,0.9535330331548405
cosmx_bcc_spot_0000001469,-496051.699782178,34104.58036206734,0.9351548944740347
cosmx_bcc_spot_0000001470,-496086.0331155113,34471.068051461276,0.9760315960818297
cosmx_bcc_spot_0000001471,-496059.3456155113,34827.474301461276,0.950134202049657
cosmx_bcc_spot_0000001472,-496077.66947914765,35199.88339237038,0.9461289326494148
cosmx_bcc_spot_0000001473,-496076.43311551126,35548.94096812794,0.9490543669396739
cosmx_bcc_spot_0000001474,-496094.4259726541,35931.7957300327,0.9543874242159989
cosmx_bcc_spot_0000001475,-496077.66947914765,36310.58036206735,0.9654833506678214
cosmx_bcc_spot_0000001476,-496071.2589219629,36643.36139823547,0.9587311411309787
cosmx_bcc_spot_0000001477,-496049.3331155113,37006.740968127946,0.9754271537671183
cosmx_bcc_spot_0000001478,-496075.09978217754,37300.3743014613,0.9727033523416424
cosmx_bcc_spot_0000001862,-495704.2906325397,30109.84350462213,0.14599809667517388
cosmx_bcc_spot_0000001863,-495726.5684103174,30481.7601712888,0.014948453723130868
cosmx_bcc_spot_0000001864,-495683.1966154458,30864.317863596512,0.5228892292227413
cosmx_bcc_spot_0000001865,-495708.3913269843,31229.072671288828,0.9740581281945669
cosmx_bcc_spot_0000001866,-495699.6966154458,31590.087094365743,0.9342313353561718
cosmx_bcc_spot_0000001867,-495709.4982348788,31946.77332918357,0.9634944804869116
cosmx_bcc_spot_0000001868,-495696.1810229301,32298.8750361537,0.9492589796901282
cosmx_bcc_spot_0000001869,-495682.9936976739,32675.906723012962,0.9622417452039734
cosmx_bcc_spot_0000001870,-495696.5684103176,33037.310171288824,0.9550087458188304
cosmx_bcc_spot_0000001871,-495728.44936269853,33402.081599860256,0.9583585868782866
cosmx_bcc_spot_0000001872,-495714.7009709494,33755.02634378103,0.9721237177721763
cosmx_bcc_spot_0000001873,-495706.54924454354,34121.74849500966,0.9755800462460367
