substrate,t,cosine,rmse_gate_off,rmse_gate_on,refused,refusal_rate,c_star
openst,0.0,0.972678,0.075661,,True,1.0,0.8
openst,0.1,0.977787,0.074521,,True,1.0,0.8
openst,0.2,0.982398,0.080219,,True,1.0,0.8
openst,0.3,0.986495,0.087506,,True,1.0,0.8
openst,0.4,0.990066,0.094556,,True,1.0,0.8
openst,0.5,0.993098,0.103797,,True,1.0,0.8
openst,0.6,0.995584,0.115084,,True,1.0,0.8
openst,0.7,0.997519,0.128911,,True,1.0,0.8
openst,0.8,0.9989,0.146157,,True,1.0,0.8
openst,0.9,0.999726,0.171118,,True,1.0,0.8
openst,1.0,1.0,0.335725,,True,1.0,0.8
realgt,0.0,0.980196,0.155754,,True,1.0,0.8
realgt,0.1,0.983737,0.162431,,True,1.0,0.8
realgt,0.2,0.986979,0.168815,,True,1.0,0.8
realgt,0.3,0.989903,0.173168,,True,1.0,0.8
realgt,0.4,0.99249,0.175493,,True,1.0,0.8
realgt,0.5,0.994723,0.175907,,True,1.0,0.8
realgt,0.6,0.996585,0.17424,,True,1.0,0.8
realgt,0.7,0.998058,0.169295,,True,1.0,0.8
realgt,0.8,0.999128,0.156798,,True,1.0,0.8
realgt,0.9,0.99978,0.127151,,True,1.0,0.8
realgt,1.0,1.0,0.170417,,True,1.0,0.8
realgt3,0.0,0.603666,0.154243,0.154243,False,0.7272727272727273,0.8
realgt3,0.1,0.702775,0.202626,0.202626,False,0.7272727272727273,0.8
realgt3,0.2,0.787132,0.280475,0.280475,False,0.7272727272727273,0.8
realgt3,0.3,0.854764,0.360413,,True,0.7272727272727273,0.8
realgt3,0.4,0.906055,0.432907,,True,0.7272727272727273,0.8
realgt3,0.5,0.942984,0.494002,,True,0.7272727272727273,0.8
realgt3,0.6,0.968217,0.541954,,True,0.7272727272727273,0.8
realgt3,0.7,0.984433,0.578367,,True,0.7272727272727273,0.8
realgt3,0.8,0.993965,0.605819,,True,0.7272727272727273,0.8
realgt3,0.9,0.99868,0.626504,,True,0.7272727272727273,0.8
realgt3,1.0,1.0,0.686233,,True,0.7272727272727273,0.8
