spot,condition,Cancer.cells,Fibroblast,MoMacDC
cosmx_bcc_xdonor_spot_0000000012,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000013,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000014,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000015,Baseline,0.9333333333333332,0.0666666666666666,0.0
cosmx_bcc_xdonor_spot_0000000016,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000017,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000018,Baseline,0.96,0.04,0.0
cosmx_bcc_xdonor_spot_0000000020,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000021,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000022,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000023,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000311,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000312,Baseline,0.9444444444444444,0.0,0.0
cosmx_bcc_xdonor_spot_0000000313,Baseline,0.9,0.1,0.0
cosmx_bcc_xdonor_spot_0000000314,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000315,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000316,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000317,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000318,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000319,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000320,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000321,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000322,Baseline,0.9583333333333334,0.0416666666666666,0.0
cosmx_bcc_xdonor_spot_0000000610,Baseline,0.9375,0.0,0.0
cosmx_bcc_xdonor_spot_0000000611,Baseline,0.95,0.05,0.0
cosmx_bcc_xdonor_spot_0000000612,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000613,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000614,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000615,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000616,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000617,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000618,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000619,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000620,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000621,Baseline,0.8181818181818182,0.0,0.0909090909090909
cosmx_bcc_xdonor_spot_0000000909,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000910,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000911,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000912,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000913,Baseline,0.9333333333333332,0.0666666666666666,0.0
cosmx_bcc_xdonor_spot_0000000914,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000915,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000916,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000917,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000918,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000919,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000920,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001208,Baseline,0.9375,0.0,0.0
cosmx_bcc_xdonor_spot_0000001209,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001210,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001213,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001214,Baseline,1.0,0.0,0.0
