item,path,sha256,role
cells.txt,cells.txt,67aa126911cd9f7017d4d580f13733accb7029d837957c85dcdc61105b5ca7cc,bcc_export
features.txt,features.txt,5c63ba116d752085dccb8523d8f59428be90313ba1c4b262892f312e8157ff15,bcc_export
metadata.csv,metadata.csv,ae217bfd8ef811b4a20407aed629f6153b723ff94adab1b047f0fbd9a290ca5d,bcc_export
counts_genes_x_cells.mtx.gz,counts_genes_x_cells.mtx.gz,28de59a3808c74552ca7b3b4b6b689bdd1311c0a84e6c09678de0f9dc235fdc2,bcc_export
openst_ref,reference_subset.h5ad,a2d9eab3b99842e392356de4c7668d72032186e5c4bf5929be64171489d6181b,benchmark_ref
realgt_ref,reference_subset.h5ad,6de8240aa667723f86122c79cdfdb3fcd81a91df6437a33047ec970314019d8f,benchmark_ref
realgt2_ref,reference_subset.h5ad,4248e8af8004b6994a6fb56f1031929b9a3a0efffd982358e1a5961b11d04a3f,orthogonal_ref
realgt3_ref,reference_subset.h5ad,e4666f698cc829d937520ea2d2a36eb70c3d78cbb4061cd8793d3cd12511bb2e,benchmark_ref
realgt4_ref,reference_subset.h5ad,eb0baa46f769523fbce5d9d6e1a70b2245c5533f25b4bae18df7d14db8354833,benchmark_ref
crossdonor.csv,crossdonor.csv,fc215b7bb5d85dfd6405c75acd4ec83cfca2f277ecd728f9d5e7beca846300d2,cbc_lock
type_pairs.json,type_pairs.json,ce6d6a55c6e21835a8d300d65dfdd1738be823f85890cdeef85bf16a9e12837b,type_pairs
c_star.json,c_star.json,23e4ca9d9feb8310c3dc35238b0215697730f1201f63f7d425240f043b23d95c,c_star
