substrate,t,cosine,tumor_rmse,malignant,neighbor,c_star,abstain,n_spots,subsample_seed
openst,0.0,0.972678,0.075661,Tumor,Tumor_Keratin_Pearl,0.8,True,400,0
openst,0.1,0.977787,0.074521,Tumor,Tumor_Keratin_Pearl,0.8,True,400,0
openst,0.2,0.982398,0.080219,Tumor,Tumor_Keratin_Pearl,0.8,True,400,0
openst,0.3,0.986495,0.087506,Tumor,Tumor_Keratin_Pearl,0.8,True,400,0
openst,0.4,0.990066,0.094556,Tumor,Tumor_Keratin_Pearl,0.8,True,400,0
openst,0.5,0.993098,0.103797,Tumor,Tumor_Keratin_Pearl,0.8,True,400,0
openst,0.6,0.995584,0.115084,Tumor,Tumor_Keratin_Pearl,0.8,True,400,0
openst,0.7,0.997519,0.128911,Tumor,Tumor_Keratin_Pearl,0.8,True,400,0
openst,0.8,0.9989,0.146157,Tumor,Tumor_Keratin_Pearl,0.8,True,400,0
openst,0.9,0.999726,0.171118,Tumor,Tumor_Keratin_Pearl,0.8,True,400,0
openst,1.0,1.0,0.335725,Tumor,Tumor_Keratin_Pearl,0.8,True,400,0
xenium,0.0,0.980196,0.155754,Invasive_Tumor,Prolif_Invasive_Tumor,0.8,True,400,0
xenium,0.1,0.983737,0.162431,Invasive_Tumor,Prolif_Invasive_Tumor,0.8,True,400,0
xenium,0.2,0.986979,0.168815,Invasive_Tumor,Prolif_Invasive_Tumor,0.8,True,400,0
xenium,0.3,0.989903,0.173168,Invasive_Tumor,Prolif_Invasive_Tumor,0.8,True,400,0
xenium,0.4,0.99249,0.175493,Invasive_Tumor,Prolif_Invasive_Tumor,0.8,True,400,0
xenium,0.5,0.994723,0.175907,Invasive_Tumor,Prolif_Invasive_Tumor,0.8,True,400,0
xenium,0.6,0.996585,0.17424,Invasive_Tumor,Prolif_Invasive_Tumor,0.8,True,400,0
xenium,0.7,0.998058,0.169295,Invasive_Tumor,Prolif_Invasive_Tumor,0.8,True,400,0
xenium,0.8,0.999128,0.156798,Invasive_Tumor,Prolif_Invasive_Tumor,0.8,True,400,0
xenium,0.9,0.99978,0.127151,Invasive_Tumor,Prolif_Invasive_Tumor,0.8,True,400,0
xenium,1.0,1.0,0.170417,Invasive_Tumor,Prolif_Invasive_Tumor,0.8,True,400,0
cosmx,0.0,0.603666,0.154243,Cancer.cells,Normal.Kerat,0.8,False,400,0
cosmx,0.1,0.702775,0.202626,Cancer.cells,Normal.Kerat,0.8,False,400,0
cosmx,0.2,0.787132,0.280475,Cancer.cells,Normal.Kerat,0.8,False,400,0
cosmx,0.3,0.854764,0.360413,Cancer.cells,Normal.Kerat,0.8,True,400,0
cosmx,0.4,0.906055,0.432907,Cancer.cells,Normal.Kerat,0.8,True,400,0
cosmx,0.5,0.942984,0.494002,Cancer.cells,Normal.Kerat,0.8,True,400,0
cosmx,0.6,0.968217,0.541954,Cancer.cells,Normal.Kerat,0.8,True,400,0
cosmx,0.7,0.984433,0.578367,Cancer.cells,Normal.Kerat,0.8,True,400,0
cosmx,0.8,0.993965,0.605819,Cancer.cells,Normal.Kerat,0.8,True,400,0
cosmx,0.9,0.99868,0.626504,Cancer.cells,Normal.Kerat,0.8,True,400,0
cosmx,1.0,1.0,0.686233,Cancer.cells,Normal.Kerat,0.8,True,400,0
