,Bcell,Cancer.cells,Endothelial,Fibroblast,Melanocyte,MoMacDC,Neutrophil,Normal.Kerat,Pericyte,PlasmaCell,Tcell
cosmx_bcc_spot_0000000256,1.7605798304050475e-15,0.9924957852820907,1.7605798304050475e-15,0.006772129750678851,1.7605798304050475e-15,1.7605798304050475e-15,4.461166526643234e-13,0.0007320849667717464,1.7605798304050475e-15,1.7605798304050475e-15,1.7605798304050475e-15
cosmx_bcc_spot_0000000257,1.779184298885521e-15,0.9864712572216016,1.779184298885521e-15,6.226536261651014e-11,1.779184298885521e-15,1.779184298885521e-15,1.779184298885521e-15,0.013528742716118604,1.779184298885521e-15,1.779184298885521e-15,1.779184298885521e-15
cosmx_bcc_spot_0000000258,1.923774910481832e-15,0.8964821461354975,1.965958944098658e-09,0.10341047723323651,5.277899064002704e-06,1.923774910481832e-15,0.00010209641812922956,1.4101933101456786e-14,3.4809206719337624e-10,1.923774910481832e-15,1.923774910481832e-15
cosmx_bcc_spot_0000000259,4.164816019803804e-06,0.9565984277113107,0.00036136823179296735,0.04241923499575958,4.6848703311431574e-07,0.0004313863112168569,0.00014470129889370794,3.930623402424002e-05,9.376956205247322e-07,1.900670807039592e-15,4.2183264073246446e-09
cosmx_bcc_spot_0000000260,7.2184673113562755e-09,0.7516627086281884,1.0383843874492284e-07,0.24470191056900495,2.53827580198991e-07,0.003635015918266238,1.8858469431372074e-15,1.8858469431372074e-15,1.2150583875320717e-14,1.8858469431372074e-15,3.600256690438189e-14
cosmx_bcc_spot_0000000261,1.8673281616403123e-15,0.942848384465747,1.964932150061134e-11,0.055768080902177844,7.085433454163998e-05,1.8673281616403123e-15,0.0013126770146951732,1.8673281616403123e-15,3.263176020563074e-09,1.8673281616403123e-15,5.260842019034598e-15
cosmx_bcc_spot_0000000262,1.859737004391196e-15,0.8908098710491786,1.859737004391196e-15,0.10882927162355652,7.573555505324008e-15,1.859737004391196e-15,3.149114090556685e-12,0.00036085732409649033,1.859737004391196e-15,1.859737004391196e-15,1.859737004391196e-15
cosmx_bcc_spot_0000000263,1.9437838052401517e-15,0.8937752091431969,8.194034256276943e-11,0.10566735710519413,1.8973012911102102e-06,1.9437838052401517e-15,1.9437838052401517e-15,1.9437838052401517e-15,0.0005555363683656076,1.9437838052401517e-15,1.9437838052401517e-15
cosmx_bcc_spot_0000000264,1.838041293348387e-15,0.3510618008954504,0.1790858394250077,0.21179952164307844,5.987210824586946e-13,1.838041293348387e-15,1.838041293348387e-15,1.838041293348387e-15,0.25805283803585366,1.838041293348387e-15,1.838041293348387e-15
cosmx_bcc_spot_0000000660,8.013638708495797e-11,0.9336384771121786,4.898590392064044e-13,0.04068714094329929,5.102559258557992e-15,0.01805773026113464,1.809506495830697e-15,0.007616649913410466,1.809506495830697e-15,1.809506495830697e-15,1.6893399660509876e-09
cosmx_bcc_spot_0000000661,1.1133972531231048e-14,0.8434712741257412,0.018141065333519276,0.03954990942869696,4.854719627227981e-06,1.8653264314454272e-15,4.939618654566067e-06,0.003698497516643951,0.09512945925706663,1.8653264314454272e-15,3.5275748380232803e-14
cosmx_bcc_spot_0000000662,2.5116328067192766e-09,0.9482496300766623,1.7147471774033397e-12,0.005541739168347929,2.556669867804498e-08,0.042907708381824394,1.875761788969541e-15,0.0033008942931045363,1.875761788969541e-15,1.875761788969541e-15,8.714150422414133e-15
cosmx_bcc_spot_0000000663,1.8706252615169443e-15,0.9844442374707489,1.8706252615169443e-15,0.015545057193608831,4.070758169786631e-10,1.8706252615169443e-15,6.743372426937568e-13,1.0704927880484652e-05,1.8706252615169443e-15,1.8706252615169443e-15,1.8706252615169443e-15
cosmx_bcc_spot_0000000664,1.8229403424155658e-15,0.9676137516694419,1.8229403424155658e-15,0.029724678839515867,0.00018433366671412557,1.8229403424155658e-15,1.8229403424155658e-15,0.002477235824315093,1.8229403424155658e-15,1.8229403424155658e-15,1.8229403424155658e-15
cosmx_bcc_spot_0000000665,1.8426286321139583e-15,0.9650383460881593,1.8426286321139583e-15,0.032386931039823715,3.8757783877240787e-13,1.8426286321139583e-15,1.8426286321139583e-15,0.002574722871616167,1.8426286321139583e-15,1.8426286321139583e-15,1.8426286321139583e-15
cosmx_bcc_spot_0000000666,1.8608897806943197e-15,0.9686715327190657,1.8608897806943197e-15,0.03114549093427395,4.11440858646422e-14,1.8608897806943197e-15,0.00011407154280059447,6.8904803807319e-05,1.8608897806943197e-15,1.8608897806943197e-15,1.8608897806943197e-15
cosmx_bcc_spot_0000000667,1.802340278664855e-15,0.962621133921034,1.802340278664855e-15,0.029475111399057834,1.802340278664855e-15,1.802340278664855e-15,1.802340278664855e-15,0.007903754679893429,1.802340278664855e-15,1.802340278664855e-15,1.802340278664855e-15
cosmx_bcc_spot_0000000668,1.8056039600836477e-15,0.9622369434502291,1.8056039600836477e-15,0.03264258732067834,1.8056039600836477e-15,1.8056039600836477e-15,1.8056039600836477e-15,0.005120469229077598,1.8056039600836477e-15,1.8056039600836477e-15,1.8056039600836477e-15
cosmx_bcc_spot_0000000669,1.853647648429401e-15,0.962298508789914,1.853647648429401e-15,0.037512559823775805,1.8017873082272114e-11,1.853647648429401e-15,4.279826645166541e-09,0.00018892708845426152,1.853647648429401e-15,1.853647648429401e-15,1.853647648429401e-15
cosmx_bcc_spot_0000001053,0.0013105686134358514,0.1269307855867731,9.020306953927831e-06,0.03185622822821044,0.6858735168080385,1.9508275202492645e-15,0.019601361265917418,0.1261533992139197,1.797552579782754e-09,0.008265118043395095,1.358014051317174e-10
cosmx_bcc_spot_0000001054,4.1839749278629803e-07,0.4117596279636124,0.0001972653362527241,0.036221075463361514,0.5391360144118816,2.0045884426571415e-15,0.012679696970601239,4.461274280137882e-06,6.636899728261984e-13,2.0045884426571415e-15,1.4401818498131212e-06
cosmx_bcc_spot_0000001055,7.736600108007322e-09,0.8567073575551688,2.1536921914581055e-05,1.9240523162209734e-15,0.14297342655250664,1.9240523162209734e-15,1.62175601492506e-05,1.2787955582418974e-10,1.1817385143662731e-06,0.0002802570081415639,1.4799120950309437e-08
cosmx_bcc_spot_0000001056,7.507937699650815e-06,0.9838673111396499,1.1151066113857004e-07,1.9307718567326968e-15,0.011426390898166298,7.766296130436111e-12,0.004698678185233856,2.424047947958749e-10,1.9307718567326968e-15,1.9307718567326968e-15,7.841235690295537e-11
cosmx_bcc_spot_0000001057,1.8795764377489463e-15,0.9878962352400674,1.8795764377489463e-15,6.724458373190828e-06,3.88539310929865e-10,1.8795764377489463e-15,1.8795764377489463e-15,0.012097039912999107,9.501502068984117e-15,1.8795764377489463e-15,1.8795764377489463e-15
cosmx_bcc_spot_0000001058,7.78380850169934e-13,0.7770340907298875,0.006377590386797847,0.032072413600898096,0.08797932031199289,1.4321412234428101e-09,0.007519614507358909,0.0014569357286347785,0.08756003329778962,1.9813809140846493e-15,3.718764008948494e-12
cosmx_bcc_spot_0000001059,1.807881802341614e-14,0.9274025699212707,5.477425137043165e-09,0.007662082759342717,0.02666092576277788,1.929921011981794e-15,0.0006253812792494044,0.00019185040510993093,0.03745718427664394,1.929921011981794e-15,1.1815821893370873e-10
cosmx_bcc_spot_0000001060,2.3330118023646063e-07,0.8395456511490001,0.0018771833093479667,0.07213762788985206,0.020894404965559343,0.03254311742959337,1.3633578021837951e-11,0.006249530024223505,0.026752251193690898,1.929566791447465e-15,7.239168651719125e-10
cosmx_bcc_spot_0000001061,1.8716776890352836e-15,0.9615732892010884,2.0140293644618957e-15,0.024156490865136347,1.8942281229211864e-05,1.8716776890352836e-15,0.006630352428529301,0.007620925223931743,1.8716776890352836e-15,1.8716776890352836e-15,7.534978521483574e-14
cosmx_bcc_spot_0000001062,1.93570280453191e-14,0.9134584070852788,0.0007099961305848432,0.014360773963391082,0.02922170485374228,1.9023201858628045e-15,1.3110059943908622e-14,4.5306676324423117e-10,0.042249116380918286,1.9023201858628045e-15,1.1329815704555996e-09
cosmx_bcc_spot_0000001063,1.918515504730361e-15,0.968005799387053,2.0506909825475175e-14,0.023503050151454964,1.738557634319718e-08,1.918515504730361e-15,2.530151171027329e-11,0.00849113305044133,1.4435720181523322e-13,1.918515504730361e-15,1.918515504730361e-15
cosmx_bcc_spot_0000001064,1.8164454024925735e-15,0.9711748546542144,1.8164454024925735e-15,0.013782743736085751,5.4647388568331604e-15,1.8164454024925735e-15,0.0032134200007700136,0.011828981608913413,1.8164454024925735e-15,1.8164454024925735e-15,1.8164454024925735e-15
cosmx_bcc_spot_0000001065,1.8052513013045046e-15,0.9762603060493434,1.8052513013045046e-15,0.018632839289468545,1.136973887222402e-09,1.8052513013045046e-15,1.8052513013045046e-15,0.0051068535242012264,1.8052513013045046e-15,1.8052513013045046e-15,1.8052513013045046e-15
cosmx_bcc_spot_0000001066,1.8782274716647476e-15,0.9659872688129977,1.8782274716647476e-15,0.033977723853562826,5.573502677959778e-09,1.8782274716647476e-15,4.2448559432807304e-14,3.5001759882659094e-05,1.8782274716647476e-15,1.8782274716647476e-15,1.8782274716647476e-15
cosmx_bcc_spot_0000001067,1.8822385654787236e-15,0.9691123212305348,1.8822385654787236e-15,0.022764345045245993,0.002410686275545814,1.8822385654787236e-15,1.8822385654787236e-15,0.005712647448659829,1.8822385654787236e-15,1.8822385654787236e-15,1.8822385654787236e-15
cosmx_bcc_spot_0000001068,1.8256634453484647e-15,0.9454264763315249,1.8256634453484647e-15,0.04716500016248222,4.658388988509624e-15,1.8256634453484647e-15,1.8256634453484647e-15,0.007408523505975198,1.8256634453484647e-15,1.8256634453484647e-15,1.8256634453484647e-15
cosmx_bcc_spot_0000001069,1.792894773125833e-15,0.9504192364338836,1.792894773125833e-15,0.042880785925341725,1.792894773125833e-15,1.792894773125833e-15,3.543648347169944e-10,0.006699977286396961,1.792894773125833e-15,1.792894773125833e-15,1.792894773125833e-15
cosmx_bcc_spot_0000001070,1.852374500956603e-15,0.9578668037100749,1.852374500956603e-15,0.041270084110084856,7.268715901787965e-15,1.852374500956603e-15,4.2363946797238843e-10,0.0008631117561821316,1.852374500956603e-15,1.852374500956603e-15,1.852374500956603e-15
cosmx_bcc_spot_0000001071,1.86021470236808e-15,0.966821945203686,1.86021470236808e-15,0.027281305477233904,3.0600672116771145e-13,1.86021470236808e-15,1.1744714810568465e-07,0.005896631871614391,1.86021470236808e-15,1.86021470236808e-15,1.86021470236808e-15
