,Bcell,Cancer.cells,Endothelial,Fibroblast,Melanocyte,MoMacDC,Neutrophil,Normal.Kerat,Pericyte,PlasmaCell,Tcell
cosmx_bcc_spot_0000000665,1.841707812834715e-15,0.9649873782855702,1.841707812834715e-15,0.032264889127687074,3.974836837871947e-13,1.841707812834715e-15,1.841707812834715e-15,0.0027477325863320733,1.841707812834715e-15,1.841707812834715e-15,1.841707812834715e-15
cosmx_bcc_spot_0000001062,1.9324189813723333e-14,0.91353903861555,0.0007090663843695149,0.014221491381438427,0.029341686956506956,1.9010517133312504e-15,1.484655763629203e-14,9.480382504862691e-10,0.04218871451797766,1.9010517133312504e-15,1.1960813649703475e-09
cosmx_bcc_spot_0000001070,1.8514698114045776e-15,0.9578384947010401,1.8514698114045776e-15,0.04113065054550593,7.461501987695207e-15,1.8514698114045776e-15,4.872406086372727e-10,0.00103085426619458,1.8514698114045776e-15,1.8514698114045776e-15,1.8514698114045776e-15
cosmx_bcc_spot_0000001460,2.5377683937212456e-11,0.24516499764675348,0.03811468541396602,0.34073386285538,0.3660259324803102,2.813466160836714e-13,0.009960520897408882,1.9819912205291327e-15,4.398211127359443e-10,1.9819912205291327e-15,2.406974281448278e-10
cosmx_bcc_spot_0000001461,1.8006348547565305e-15,0.9819854675069518,1.8006348547565305e-15,9.279837995919251e-15,1.8724721505587333e-13,1.8006348547565305e-15,1.0252048789182324e-11,0.0180145324825887,1.8006348547565305e-15,1.8006348547565305e-15,1.8006348547565305e-15
cosmx_bcc_spot_0000001471,1.8238496678015357e-15,0.9500634447722422,1.8238496678015357e-15,0.04641734796966987,1.8238496678015357e-15,1.8238496678015357e-15,1.8238496678015357e-15,0.0035192072580730776,1.8238496678015357e-15,1.8238496678015357e-15,1.8238496678015357e-15
cosmx_bcc_spot_0000001879,1.8846143337517815e-15,0.9488013281398138,1.8846143337517815e-15,0.051198671859713,4.579025726457493e-13,1.8846143337517815e-15,1.8846143337517815e-15,1.8846143337517815e-15,1.8846143337517815e-15,1.8846143337517815e-15,1.8846143337517815e-15
cosmx_bcc_spot_0000002269,1.8847126437453705e-15,0.9784576324137936,8.747814000335923e-14,0.004148425660208421,0.00013346346762321685,1.8847126437453705e-15,5.4800054756410194e-08,0.0172604236576846,7.421122179049547e-14,4.5372341399586366e-13,1.6358834638795808e-14
cosmx_bcc_spot_0000002270,2.1737174865197286e-09,0.5018154506973987,0.04184945656850072,0.19052541417031163,0.2651843359571063,2.0964770873883084e-10,2.4652502260847134e-08,0.0006253151574118701,2.913303396077138e-10,1.9763787175810805e-15,1.2207102634007823e-10
cosmx_bcc_spot_0000002681,1.922293114968428e-15,0.959280080593353,1.922293114968428e-15,0.014088822308437448,0.023946452409522027,1.922293114968428e-15,4.758004303666737e-14,0.0026846446886280508,1.922293114968428e-15,1.922293114968428e-15,1.922293114968428e-15
cosmx_bcc_spot_0000003088,0.00535628308940683,0.8385048903646566,0.07932799479428754,0.035677867702395366,0.03741816233370232,0.0001805334201069456,0.0033745935920004087,0.00015567315997990757,1.4500786795227206e-09,1.961723212389519e-15,4.000093383502352e-06
cosmx_bcc_spot_0000003095,1.0313531698551193e-15,1.0313531698551193e-15,1.0313531698551193e-15,1.0313531698551193e-15,1.0313531698551193e-15,1.0313531698551193e-15,1.0313531698551193e-15,1.0313531698551193e-15,1.0313531698551193e-15,0.9999999999999897,1.0313531698551193e-15
cosmx_bcc_spot_0000003482,2.325264054550788e-06,0.002708022775062634,0.34652562195827585,0.17070941817204205,0.30396158342594576,2.2692845072656764e-10,0.008282904396823103,0.004038811708373523,0.15506370520873086,0.00870760671402461,1.497385756778879e-10
cosmx_bcc_spot_0000003585,2.019541937963839e-15,0.9231925480872281,1.8487653036485776e-07,2.019541937963839e-15,0.06547403395326853,2.019541937963839e-15,0.011333233079480661,2.019541937963839e-15,2.019541937963839e-15,2.019541937963839e-15,3.4799784061172585e-12
cosmx_bcc_spot_0000003901,1.908300800372323e-15,0.9999999879563006,1.908300800372323e-15,2.951049372571107e-10,1.1713591616191098e-08,1.908300800372323e-15,3.498918073215706e-11,1.908300800372323e-15,1.908300800372323e-15,1.908300800372323e-15,1.908300800372323e-15
cosmx_bcc_spot_0000003986,6.201799313357114e-06,0.09571062058370153,0.0038119331941554252,0.13156529752880944,0.7110449551091813,1.9755035153310857e-15,0.02560880078208441,0.026700676897869025,0.005550943006907056,1.9755035153310857e-15,5.710979744144954e-07
cosmx_bcc_spot_0000004291,1.9741060715061046e-15,0.9225980563998453,1.5314032357879745e-09,0.038284184813610574,0.03529336318570984,1.9741060715061046e-15,0.0038243938592358627,1.9741060715061046e-15,1.6611266879280712e-10,1.9741060715061046e-15,4.40744527232276e-11
cosmx_bcc_spot_0000004297,1.8155192468495803e-15,0.9918588905625917,1.8155192468495803e-15,0.008141109398641922,3.8751608514239904e-11,1.8155192468495803e-15,1.8155192468495803e-15,1.8155192468495803e-15,1.8155192468495803e-15,1.8155192468495803e-15,1.8155192468495803e-15
cosmx_bcc_spot_0000004307,0.04719893929879018,0.562324544665403,0.05716927025642211,0.13019741721130407,0.18347733824869628,0.01739895118255499,0.00016873469863263406,1.864900693124107e-15,0.0009468874761925251,0.0001713875615096471,0.0009465294004925291
cosmx_bcc_spot_0000004395,1.5060526652967496e-07,0.8855968730590678,2.7709352179476373e-06,8.883927561281782e-10,0.10557520174529272,2.0225554764082054e-15,0.00862633225502049,2.0225554764082054e-15,0.00019268718139895728,2.0225554764082054e-15,5.983330336575357e-06
cosmx_bcc_spot_0000004708,1.862517601512193e-15,0.9716687170964824,1.862517601512193e-15,0.027922315289686014,1.8599889484550463e-10,1.862517601512193e-15,1.862517601512193e-15,1.862517601512193e-15,1.862517601512193e-15,0.00040896742781942126,1.862517601512193e-15
cosmx_bcc_spot_0000004711,3.3229296751063994e-06,4.171832675078536e-09,0.07771503424332979,0.12041839424787754,0.7725023363513629,2.879412055530834e-13,0.013545888294614826,0.015813870760643046,3.8116427906337856e-14,1.2748351086400326e-10,1.1488728544070378e-06
cosmx_bcc_spot_0000004795,6.0955382774529925e-06,0.17353440786400456,0.22463139173473676,0.38556535727743485,0.19523213758166008,3.233252533770099e-06,0.015000338934607827,1.982478144989197e-15,0.0060270375745211935,1.982478144989197e-15,2.422194657808877e-10
cosmx_bcc_spot_0000004797,3.330656537848783e-06,0.8599129489509533,0.0001034311198611788,0.02039732785394495,0.10762813832879028,2.067501506503967e-15,0.011954787141166896,2.067501506503967e-15,2.3726427668084177e-11,2.067501506503967e-15,3.5925012934179174e-08
cosmx_bcc_spot_0000005098,8.182456691204378e-11,0.9294995136834313,8.780310196008489e-08,0.03669309593209985,0.0320633943580444,2.0074061742393104e-15,0.0017439067273208116,2.0074061742393104e-15,1.7887620766441405e-12,2.0074061742393104e-15,1.412382252309535e-09
cosmx_bcc_spot_0000005605,9.658449885307577e-12,0.9972057253372596,1.0614331611265667e-08,0.002712118795889784,8.214331617577357e-05,1.9169750163766912e-15,8.075718583353021e-10,6.475849721003492e-15,1.0139550951379074e-09,1.9169750163766912e-15,1.0514723089489522e-10
cosmx_bcc_spot_0000006015,2.0911691489529317e-15,0.9618833935532282,2.0911691489529317e-15,2.0911691489529317e-15,0.020334799098541773,2.0911691489529317e-15,0.017781807348212927,2.0911691489529317e-15,2.0911691489529317e-15,2.0911691489529317e-15,2.0911691489529317e-15
cosmx_bcc_spot_0000006412,3.5232034784200034e-13,0.9286988071601155,6.0210074301367495e-09,0.00289432072446437,0.06666671741215821,1.958272613462349e-15,0.0017401486197198815,1.9525091119815415e-12,4.0142415310499317e-13,1.958272613462349e-15,5.982430637251652e-11
cosmx_bcc_spot_0000007219,1.2812354857394767e-10,0.8421023356446452,8.120323373742862e-09,0.012718610922504488,0.1363427838930451,2.0107766321887673e-15,0.008836210860868407,2.0107766321887673e-15,6.367234087317972e-11,2.0107766321887673e-15,5.036681140146605e-08
cosmx_bcc_spot_0000007223,1.8295993568019375e-15,0.9009195567318257,1.8295993568019375e-15,1.8295993568019375e-15,0.0951928782097508,1.8295993568019375e-15,1.400260480674463e-10,0.0038875649183842207,1.8295993568019375e-15,1.8295993568019375e-15,1.8295993568019375e-15
cosmx_bcc_spot_0000007623,2.313446556622907e-09,0.8886575427674976,3.668719953358099e-06,0.019411231236378106,0.07444104211485286,1.9675261031831935e-15,0.009037149540218675,1.9675261031831935e-15,0.008449354150628856,1.9675261031831935e-15,9.157017807720751e-09
cosmx_bcc_spot_0000008832,3.2612566414635567e-06,0.9463566618684792,0.012921544010168103,2.000312328296332e-15,0.027520353239632315,2.812894689651406e-13,0.013161551927384347,2.7323569570719733e-09,3.6465433497489326e-05,2.000312328296332e-15,1.595315546434751e-07
cosmx_bcc_spot_0000009234,2.860250988188445e-06,0.5000200171089662,0.0080235051666949,0.002509333794152168,0.44957305649393225,2.0496738045901553e-15,0.022187218150631266,2.0496738045901553e-15,0.0010418556105335577,0.01664215319729965,2.2679782967097804e-10
cosmx_bcc_spot_0000009969,2.1025579377089597e-09,9.970514837503935e-05,0.12722672738140411,0.1381450765342998,0.7071044448619984,1.902021542522378e-15,0.027423037374720714,1.902021542522378e-15,1.006151595868113e-06,1.902021542522378e-15,4.450423736021798e-10
cosmx_bcc_spot_0000009973,1.3427723985071875e-10,0.014220000114160237,0.06593803093778294,1.944321158842941e-15,0.8797000285927202,1.944321158842941e-15,0.03283227970490288,0.006141958397621691,1.944321158842941e-15,0.0011677021185215882,7.32197350331615e-15
cosmx_bcc_spot_0000010102,0.022561313904118876,2.28549090111763e-11,0.10161989592825764,0.04958715997546639,0.379405739559524,5.5627125865813025e-12,0.0031165272437568585,0.44370698101850536,5.396728092105724e-09,1.8786224817365354e-15,2.3769452230780226e-06
cosmx_bcc_spot_0000010360,1.9860767509227893e-15,0.9832939419912442,1.9860767509227893e-15,0.014267764797092686,6.519345657797986e-08,1.9860767509227893e-15,1.4540312293692814e-08,1.9860767509227893e-15,1.9860767509227893e-15,0.0024382134778820987,1.9860767509227893e-15
cosmx_bcc_spot_0000010362,2.588944876728472e-13,0.9596500376849122,4.0716881350729944e-13,0.035300190819546905,2.6840682620633604e-07,1.9857532432088477e-15,0.0018044924209667057,1.9857532432088477e-15,9.278605789668995e-15,0.003245010667066524,1.9857532432088477e-15
cosmx_bcc_spot_0000010366,0.0004534636321205661,0.007297830679758203,0.04383362031992688,0.21427117511875196,3.8897897800983565e-05,0.2634062605846758,1.9202297404198293e-12,1.8616640727865155e-15,0.33329468743379953,0.1374040643310669,1.7687079367702288e-13
cosmx_bcc_spot_0000010450,7.638929131798371e-14,0.810498890085974,3.1351817777940366e-06,2.092939599934071e-15,0.18231662351041436,2.092939599934071e-15,0.007177102957796346,2.092939599934071e-15,4.2482637780497904e-06,2.092939599934071e-15,1.74472677931225e-13
cosmx_bcc_spot_0000010763,3.7000243750663033e-10,0.8900113834256616,0.054196159986894164,0.020315614856829745,0.032036800495897515,1.9625231222697165e-15,9.42385340456547e-05,1.9625231222697165e-15,2.097728744501816e-06,0.003343704597921351,3.998921777227536e-12
cosmx_bcc_spot_0000010775,8.183400523366816e-07,2.1431834455215995e-10,0.21251045218894493,0.09846135872606813,0.6724878397477598,1.952472992516692e-15,0.013814682709793939,0.0027246165904161825,2.3147989166400962e-07,1.952472992516692e-15,2.750699594915058e-12
cosmx_bcc_spot_0000010776,0.033781406845116616,1.8655238127565988e-15,0.2791538840384059,0.01432600877402119,0.6459556192432131,2.6873879262540213e-05,0.026210155019837443,2.97479612677252e-10,0.0005343542705767174,3.9776203112498423e-13,1.1697631687487303e-05
cosmx_bcc_spot_0000011577,1.273221026024474e-15,1.273221026024474e-15,1.273221026024474e-15,0.03192347625104586,1.273221026024474e-15,0.029120081353490694,1.273221026024474e-15,1.273221026024474e-15,0.04157824032899852,0.8973782020664559,1.273221026024474e-15
cosmx_bcc_spot_0000011578,0.0023247752369191543,1.7908892180204478e-10,0.3188923407345127,0.4916632473629062,0.0052145126942261125,0.059051110491369824,0.023813255642969655,1.9188906549339406e-15,0.021801560298024925,0.07723919729476578,6.521472751528192e-11
cosmx_bcc_spot_0000011719,0.05464857707318301,4.823747159469545e-12,0.00034237626523200506,0.6619561994824115,0.11096893312961695,0.16776006463288531,0.004313013113862905,1.94118400139379e-15,6.656375649470174e-15,1.94118400139379e-15,1.0836297973764868e-05
cosmx_bcc_spot_0000011982,0.003278400938557372,0.00010246452297795775,0.21934116946688353,0.51853100752953,0.20048486099645046,0.010594352131188667,0.001983061258182322,1.973023717673844e-15,0.039770733752758455,0.005913946025984153,3.377485130059697e-09
cosmx_bcc_spot_0000012069,1.3255498412974636e-09,0.8175035412965395,3.258592310219353e-08,0.015590239647187544,0.15063327050748065,2.0770242712660594e-15,0.016272801137658784,2.0770242712660594e-15,2.0770242712660594e-15,2.0770242712660594e-15,1.1349965218703888e-07
cosmx_bcc_spot_0000012124,0.01424723218027418,2.6208253543534706e-05,0.15580957620574598,0.369646450449383,0.447445789947225,3.0305209950841616e-08,0.00965539612425212,1.976648693607942e-15,0.003169069623180707,1.976648693607942e-15,2.469111816162561e-07
cosmx_bcc_spot_0000012386,1.8932741117800343e-05,0.011064310054996132,0.12843147371754834,0.3510450328885832,0.0007483987631281822,0.0976338436374733,3.428368185111862e-09,1.898840219297515e-15,0.14105219258037954,0.2600687762554368,0.009937035932966722
cosmx_bcc_spot_0000012466,3.313198344771302e-10,0.5584465813095754,0.002372661673479991,0.013456431563950481,0.3801035987327859,2.0019246876967706e-15,0.029827045603477986,0.009868729790298162,7.499680501018261e-10,0.005924950245006089,1.3625031008386223e-13
cosmx_bcc_spot_0000012790,2.4665550859485713e-07,0.7514601589076365,0.17831697843222039,1.2976428356053515e-06,2.8140879671374856e-07,1.3572211590414243e-08,0.00010896316111132,1.8909020482063157e-15,0.014405376609581686,0.05570668355033827,5.975727738606566e-11
cosmx_bcc_spot_0000012795,0.05851093799746293,3.955776332544615e-06,0.5392177985996476,1.6811651257390984e-05,0.293638186354374,1.9306330172029126e-08,0.010560656636955565,1.9300432319454816e-15,0.08846306032266073,0.00958266101801446,5.912336962549247e-06
cosmx_bcc_spot_0000012935,1.9291378503078187e-15,0.8184291779268595,2.9422597603991835e-13,0.017860196264641928,0.1470786066596469,1.9291378503078187e-15,0.007594771239127188,0.00903724471351987,3.195902656190982e-09,1.9291378503078187e-15,1.9291378503078187e-15
cosmx_bcc_spot_0000013191,2.0844233150598857e-12,1.4772246735612344e-15,3.121369565286823e-13,1.4772246735612344e-15,1.4772246735612344e-15,0.0763063818465169,1.4772246735612344e-15,1.4772246735612344e-15,0.04460883172240888,0.8790847783155248,8.113145454344358e-09
cosmx_bcc_spot_0000013737,0.10154801556944662,2.0421123930269688e-07,0.1562456752715753,0.2561366920921182,0.410018415143695,0.0023777778426263383,0.01922409272248364,0.006562077129844926,0.0006562892463392706,0.0058194829920170475,0.0414112777786145
