,CAF,CAM,Cortex_CCL21,Fibroblasts,Germinal_Center_Plasma_IgM_B_cell,High_Endothelial_Venules,M1_macrophages,Macrophages,Plasma_IgA,Plasma_IgG,T_cell,Tumor,Tumor_Keratin_Pearl
openst_spot_00000901,1.57904491960769e-09,0.00847071815496018,1.7018098120801224e-15,0.9915292802659775,1.7018098120801224e-15,1.7018098120801224e-15,1.7018098120801224e-15,1.7018098120801224e-15,1.7018098120801224e-15,1.7018098120801224e-15,1.7018098120801224e-15,1.7018098120801224e-15,1.7018098120801224e-15
openst_spot_00001268,0.042704603067577916,1.840709865762824e-15,0.0031510373914657745,0.5317641971304774,3.468933124953338e-08,0.0005956978593685945,0.011545742964238409,1.7643247743210673e-06,2.0562488684964038e-13,0.4017894773248748,0.00024834717064263484,2.657340619307107e-05,0.008172524670848284
openst_spot_00001385,0.02792212401246971,1.6507138865446885e-15,0.0010691519512708138,0.9708461465364497,5.967075113283224e-05,1.3729869247690962e-08,8.189502501252391e-07,8.312056015721766e-15,1.6507138865446885e-15,1.6507138865446885e-15,9.740895052859661e-05,1.6507138865446885e-15,4.6651180138776935e-06
openst_spot_00001399,0.0008281415358879979,0.012460534882924357,8.583948837249872e-13,0.5647792413771789,1.7677301150410665e-15,2.6629631483559804e-09,9.136999681201064e-09,6.430835410330395e-09,1.7677301150410665e-15,0.42193206392262733,4.9717584219869155e-11,1.7677301150410665e-15,1.7677301150410665e-15
openst_spot_00001401,7.07750921585693e-12,1.6100214161603933e-15,1.6100214161603933e-15,0.6189313768240022,1.6100214161603933e-15,1.6100214161603933e-15,1.6100214161603933e-15,1.6100214161603933e-15,1.6100214161603933e-15,0.38106862316890383,1.6100214161603933e-15,1.6100214161603933e-15,1.6100214161603933e-15
openst_spot_00001511,0.15706704633395616,0.007674498576911325,2.0127841629055206e-07,0.050585380167232775,0.0005982140938285853,9.078088255149131e-05,0.6053383984444876,3.5651302220631168e-06,1.8193049149932313e-15,0.17423551988700442,0.0019915044142463853,0.002414890791139121,1.8193049149932313e-15
openst_spot_00001634,0.18019270951592647,5.0213147392168697e-14,0.012791646304842965,0.6618581118033702,0.010699895070060597,7.716754747636795e-06,1.534593020782372e-05,5.205382080940068e-09,1.6986402101079309e-15,0.13443425777219545,3.1164321122947457e-07,1.6986402101079309e-15,1.6986402101079309e-15
openst_spot_00001646,0.2611094087454628,1.2554966891044341e-14,1.958616902731444e-15,0.5728285015008077,2.5337130972317313e-05,3.020099842198084e-07,0.10607233452753315,0.0002668433976430015,1.958616902731444e-15,5.1991708782624376e-08,4.201995830138956e-07,0.027521011987530115,0.03217578850875833
openst_spot_00001649,0.5284776650620715,0.037829766117183763,5.691925062862316e-10,0.43366690073097075,1.2391478533983588e-05,6.0376776601099335e-06,7.028406279631304e-06,7.254050238037221e-09,4.286215908895433e-10,1.775380853057905e-07,2.4737346409102484e-08,2.0082219370582424e-15,2.0082219370582424e-15
openst_spot_00001790,0.4037578794367498,1.7628636821653857e-15,0.006829833656322904,0.5894122846296278,1.7628636821653857e-15,8.405695646022823e-12,2.268861878872977e-09,1.7628636821653857e-15,1.7791956402747202e-14,1.7628636821653857e-15,3.1124963454089765e-15,1.7628636821653857e-15,1.7628636821653857e-15
openst_spot_00001884,0.00017804980513015293,5.6785844136473747e-05,1.4243404262998715e-15,0.03464453950176365,1.4243404262998715e-15,1.4243404262998715e-15,1.4243404262998715e-15,1.4243404262998715e-15,1.4243404262998715e-15,0.9651206059892229,1.4243404262998715e-15,1.885973411223246e-08,2.68877550473383e-15
openst_spot_00001899,0.5783748856940075,1.7442193109346606e-15,1.7442193109346606e-15,0.3880717533738638,1.7442193109346606e-15,1.7442193109346606e-15,1.7442193109346606e-15,1.7442193109346606e-15,1.7442193109346606e-15,1.7442193109346606e-15,1.7442193109346606e-15,0.03355336093211065,1.7442193109346606e-15
openst_spot_00001904,0.029495747737089885,0.008977948695681222,1.5542820610996044e-15,0.5151191302529436,1.5542820610996044e-15,1.5542820610996044e-15,1.5542820610996044e-15,1.5542820610996044e-15,6.055637029736859e-12,0.4464071733082169,1.5542820610996044e-15,1.5542820610996044e-15,1.5542820610996044e-15
openst_spot_00001994,0.5221127631907332,0.0019731061504916097,0.03417709945678196,0.2482623225861785,1.3718541733070496e-09,0.00034564875127875237,0.00021401427527532996,0.00013580519092295883,2.718364981397178e-10,0.1127045900501148,0.08007464870452854,1.7406426483974067e-15,1.7406426483974067e-15
openst_spot_00002024,1.3330988685942157e-15,2.6186637380058443e-11,1.3330988685942157e-15,1.3330988685942157e-15,1.3330988685942157e-15,1.3330988685942157e-15,1.3330988685942157e-15,1.3330988685942157e-15,1.3330988685942157e-15,0.9999999382463856,1.3330988685942157e-15,6.172741442977007e-08,1.3330988685942157e-15
openst_spot_00002029,0.07041064999516045,0.00022266770236821148,1.740936532199806e-15,0.1036373656496911,1.740936532199806e-15,1.740936532199806e-15,1.0516429218549905e-14,5.6171987081516824e-15,1.740936532199806e-15,0.8257290301829446,1.740936532199806e-15,2.8646980911001713e-07,1.740936532199806e-15
openst_spot_00002048,0.007695662480658825,4.394636438059836e-14,0.0006230321435650159,0.5869232383432837,1.3758125518862835e-07,0.028208421470213907,0.009189780524278757,0.002764170526941049,3.995897743851902e-11,0.18456951275558547,0.06345744108478914,0.11656860304938034,4.5551593300391445e-14
openst_spot_00002055,0.2746429712999381,1.7560740502978778e-15,0.011682107650838873,0.3890963243199349,1.7560740502978778e-15,1.3386082536503714e-05,1.5743675708935057e-07,1.2464323279484635e-09,0.048749125425624026,0.2758159159635546,1.0574376408115335e-08,1.7560740502978778e-15,1.7560740502978778e-15
openst_spot_00002117,0.036588553477540926,0.006851335740686294,1.512102130966435e-15,0.0022478918360823437,1.512102130966435e-15,1.512102130966435e-15,1.512102130966435e-15,1.512102130966435e-15,1.512102130966435e-15,0.954312218937414,1.512102130966435e-15,8.248966845376928e-12,1.6908895862643836e-14
openst_spot_00002126,1.1819027533558717e-15,1.1819027533558717e-15,1.1819027533558717e-15,1.1819027533558717e-15,1.1819027533558717e-15,1.1819027533558717e-15,1.1819027533558717e-15,1.1819027533558717e-15,1.1819027533558717e-15,0.9999999999999858,1.1819027533558717e-15,1.1819027533558717e-15,1.1819027533558717e-15
openst_spot_00002162,1.887363928605738e-15,1.887363928605738e-15,1.887363928605738e-15,1.887363928605738e-15,1.4295074309780962e-12,1.887363928605738e-15,1.887363928605738e-15,3.2682559690793417e-15,1.887363928605738e-15,1.887363928605738e-15,1.342675074394406e-10,0.999999999861704,2.5805521220194186e-12
openst_spot_00002164,1.8461810284638655e-15,0.009358005962578884,1.8461810284638655e-15,1.8461810284638655e-15,4.696323639301999e-13,1.8461810284638655e-15,1.8461810284638655e-15,3.9467514057541e-13,1.8461810284638655e-15,1.8461810284638655e-15,3.2927068961934006e-09,0.9906419907437579,7.915055430327002e-14
openst_spot_00002173,0.2864952503021337,0.018528928696365073,3.898617376125989e-09,0.32186723370587883,6.067244154915168e-10,0.0004979291481201942,0.08498930271209874,0.0017575695590958847,0.20259493712058274,0.08323279507946009,3.0536470425870716e-05,5.512700495056203e-06,1.8921448472444457e-15
openst_spot_00002180,3.5697979462295577e-12,1.3674129791248384e-15,1.3674129791248384e-15,0.09349064886241797,1.3674129791248384e-15,1.3674129791248384e-15,1.3674129791248384e-15,1.3674129791248384e-15,1.3674129791248384e-15,0.9065093511339986,1.3674129791248384e-15,1.3674129791248384e-15,1.3674129791248384e-15
openst_spot_00002245,1.85608236393467e-15,0.1292748155149235,1.85608236393467e-15,1.85608236393467e-15,1.85608236393467e-15,1.85608236393467e-15,1.85608236393467e-15,9.68093879590842e-13,1.85608236393467e-15,0.3800181148714184,1.85608236393467e-15,0.4907068671664011,2.0244627422074579e-07
openst_spot_00002297,0.45537387344531244,0.017332815821636843,1.4303021275150626e-06,0.2510945113770785,1.0570670313023059e-07,0.18328431709295692,0.013574657754211957,8.6721157003256e-05,6.6387644937114e-12,0.07605879115598542,0.0031504159112992537,4.23602690441493e-05,1.8829551848855886e-15
openst_spot_00002365,4.6348431317512653e-10,0.0003036205865177097,6.1097104889342e-05,4.690666820271473e-15,7.084723676062273e-09,0.0005461087293900128,0.0007440929021945785,0.007618070916601113,2.3062465305818968e-09,0.10742700570442021,6.044001337427999e-05,0.8832395452371155,8.951038112873355e-09
openst_spot_00002374,0.23014779410251215,0.0126997623319998,1.8435349683684874e-15,9.477743232915045e-06,1.4689518089199472e-14,6.477500672028742e-11,7.972358609274424e-09,5.676561324905789e-09,6.3117139784397495e-09,0.09859865107493694,2.7881686457270566e-11,0.6584777684278379,6.652626617314282e-05
openst_spot_00002408,1.8197877927512908e-15,0.02123655708814619,6.466233990691475e-07,1.8197877927512908e-15,4.43220206047354e-11,1.585156205367934e-09,2.6634720030080306e-14,2.4451553520906205e-10,1.4203097763127826e-12,1.8197877927512908e-15,0.0008538539965875574,0.9779089400906228,3.2579822338272625e-10
openst_spot_00002420,0.1413038345271247,0.029453417039778853,1.929349287206759e-15,0.2856038250419349,0.00017060915215734202,0.06622919783972925,0.009712104521122901,0.00350004946222988,0.010212962756024915,0.43765905959936185,0.01614722731644878,7.712744082843338e-06,1.929349287206759e-15
openst_spot_00002472,0.5460294385676568,1.624256479435498e-15,1.624256479435498e-15,0.32379427353314316,1.624256479435498e-15,1.624256479435498e-15,9.121003007914643e-13,1.2201138695189265e-14,0.12171183740534779,0.008464319643442028,1.624256479435498e-15,1.624256479435498e-15,1.3084947586026878e-07
openst_spot_00002515,0.5007206615488743,0.035503080278448965,0.04954928325077416,4.0589708485609224e-05,1.7689297395982542e-15,2.450729534451373e-06,2.590508976683089e-12,1.6447209343357973e-08,1.7689297395982542e-15,0.25401123002854,1.0907948584510748e-09,0.16017268616953875,7.45205451438639e-10
openst_spot_00002526,1.7475294294609125e-15,1.7475294294609125e-15,5.5294532317069653e-11,1.7475294294609125e-15,1.7475294294609125e-15,1.7475294294609125e-15,1.7475294294609125e-15,1.7475294294609125e-15,3.477334871806972e-14,1.7475294294609125e-15,1.153399753397887e-12,0.9999999753597117,2.458379153511607e-08
openst_spot_00002604,0.004992864615181836,1.8396868979867417e-15,1.8396868979867417e-15,2.880701337041475e-06,1.8396868979867417e-15,1.8396868979867417e-15,1.8396868979867417e-15,1.8396868979867417e-15,1.8396868979867417e-15,0.12866191257733947,1.8396868979867417e-15,0.8663423421061237,3.42362511110357e-15
openst_spot_00002610,0.1485109512579045,1.4681319117270474e-15,1.4681319117270474e-15,2.081868749054754e-06,1.4681319117270474e-15,1.4681319117270474e-15,1.4681319117270474e-15,1.4681319117270474e-15,1.4681319117270474e-15,0.8407382576636959,1.4681319117270474e-15,0.010748709207683135,1.9557168615487656e-12
openst_spot_00002612,1.2272172319582024e-15,1.2272172319582024e-15,1.2272172319582024e-15,1.2272172319582024e-15,1.2272172319582024e-15,1.2272172319582024e-15,1.2272172319582024e-15,1.2272172319582024e-15,1.2272172319582024e-15,0.9999999999999852,1.2272172319582024e-15,1.2272172319582024e-15,1.2272172319582024e-15
openst_spot_00002625,0.0013735744625169646,0.7344754268547079,6.838807503486142e-13,0.09926142534544335,4.440749065217868e-06,0.00011622093724297356,0.009286218934986306,0.05646901826825646,2.314492088569162e-13,0.07565060183073921,0.017427448364567274,0.00593562425155687,1.984611652274504e-15
openst_spot_00002655,1.7836686362469835e-15,1.7836686362469835e-15,1.0120464806713954e-10,1.7836686362469835e-15,6.964376662496503e-14,1.7836686362469835e-15,1.7836686362469835e-15,1.7836686362469835e-15,1.977068150935089e-14,1.7836686362469835e-15,1.7558004512962977e-10,0.9999999988746999,8.484135038707018e-10
openst_spot_00002659,9.377942666092291e-13,1.7893237323556205e-15,3.0798281342758056e-05,3.752678565349434e-14,1.7893237323556205e-15,1.8860857211756842e-09,9.662699134349162e-12,1.3320104969795915e-09,1.7893237323556205e-15,4.0756164009481985e-09,5.137086248443996e-12,0.999969194409155,9.194377673447466e-15
openst_spot_00002661,0.2763554536224334,2.8267527438973114e-08,1.9857050260415588e-10,0.00016763483960004335,4.3445913895118255e-05,8.199216190305594e-05,0.021363725045394372,1.0586106419669585e-05,1.6894200077462312e-07,1.883170807374096e-15,0.005741630963727652,0.6962353339385241,1.883170807374096e-15
openst_spot_00002738,1.1225067572458242e-15,1.1225067572458242e-15,1.1225067572458242e-15,1.1225067572458242e-15,1.1225067572458242e-15,1.1225067572458242e-15,1.1225067572458242e-15,1.1225067572458242e-15,1.1225067572458242e-15,0.9999999999999865,1.1225067572458242e-15,1.1225067572458242e-15,1.1225067572458242e-15
openst_spot_00002779,1.755705757041399e-15,0.007286655477657572,1.755705757041399e-15,1.755705757041399e-15,0.0064389101167037395,1.755705757041399e-15,1.755705757041399e-15,1.755705757041399e-15,1.755705757041399e-15,1.755705757041399e-15,1.755705757041399e-15,0.9862744344056211,1.755705757041399e-15
