,x,y,Cancer.cells,Fibroblast,MoMacDC
cosmx_bcc_xdonor_spot_0000000012,-193730.7776968048,-42058.8377452363,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000013,-193717.93483966193,-41733.92345952202,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000014,-193791.9681729953,-41437.54012618868,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000015,-193668.26817299527,-40986.79012618868,0.9333333333333332,0.0666666666666666,0.0
cosmx_bcc_xdonor_spot_0000000016,-193706.81665784374,-40701.396186794744,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000017,-193703.46817299526,-40334.59964999821,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000018,-193714.33483966198,-39929.20345952202,0.96,0.04,0.0
cosmx_bcc_xdonor_spot_0000000020,-193690.03960156668,-39227.98060237916,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000021,-193722.09136140108,-38907.94954647854,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000022,-193717.4681729953,-38667.29012618868,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000023,-193718.43483966193,-38169.52345952202,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000311,-193358.8491253762,-42078.40917380773,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000312,-193364.13483966194,-41800.512348410906,0.9444444444444444,0.0,0.0
cosmx_bcc_xdonor_spot_0000000313,-193312.23483966198,-41322.323459522006,0.9,0.1,0.0
cosmx_bcc_xdonor_spot_0000000314,-193360.13483966194,-41031.45679285535,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000315,-193383.5157920429,-40678.21869761726,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000316,-193359.55589229352,-40302.07082794307,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000317,-193370.88483966194,-40003.77345952202,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000318,-193353.63483966194,-39538.8377452363,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000319,-193371.48778083842,-39213.358753639666,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000320,-193380.72307495607,-38937.18228305143,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000321,-193373.45302148012,-38545.4416413402,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000322,-193376.8431729953,-38168.20679285535,0.9583333333333334,0.0416666666666666,0.0
cosmx_bcc_xdonor_spot_0000000610,-192996.63483966194,-42086.998459522016,0.9375,0.0,0.0
cosmx_bcc_xdonor_spot_0000000611,-193008.28483966194,-41749.82345952202,0.95,0.05,0.0
cosmx_bcc_xdonor_spot_0000000612,-192991.91261743972,-41377.012348410906,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000613,-192995.55589229352,-41002.86030162728,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000614,-192997.89674442384,-40673.837745236306,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000615,-193009.98669151386,-40296.827163225724,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000616,-192964.13483966194,-40005.508074906626,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000617,-192997.30150632863,-39602.29012618869,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000618,-193030.82233966194,-39256.748459522016,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000619,-192994.01719260312,-38867.476400698484,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000620,-193009.0478831402,-38540.16693778289,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000621,-193004.04393057106,-38250.85073224928,0.8181818181818182,0.0,0.0909090909090909
cosmx_bcc_xdonor_spot_0000000909,-192655.0478831402,-42080.90606821767,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000910,-192659.32233966194,-41733.998459522016,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000911,-192634.57928410638,-41369.4012372998,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000912,-192648.57928410638,-41003.734570633125,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000913,-192722.86817299528,-40669.25679285535,0.9333333333333332,0.0666666666666666,0.0
cosmx_bcc_xdonor_spot_0000000914,-192671.98483966192,-40312.32345952202,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000915,-192659.9583690737,-39964.88816540437,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000916,-192644.43483966193,-39596.17345952202,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000917,-192649.75983966197,-39267.33179285535,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000918,-192657.02372855082,-38917.9012372998,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000919,-192658.6903952175,-38534.17901507757,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000920,-192652.33483966193,-38201.27345952202,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001208,-192278.50983966194,-42087.935959522016,0.9375,0.0,0.0
cosmx_bcc_xdonor_spot_0000001209,-192299.18029420738,-41709.30527770384,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001210,-192315.84912537623,-41399.19488809344,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001213,-192302.934839662,-40222.523459522,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001214,-192300.7712032983,-39981.66891406747,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001215,-192306.66425142664,-39600.24110658084,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001216,-192296.46817299534,-39259.234570633125,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001217,-192289.01719260312,-38895.77051834555,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001218,-192288.38483966194,-38549.42345952202,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001219,-192304.86560889275,-38155.58499798356,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001507,-191961.44733966194,-42104.310959522016,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001508,-191940.46817299526,-41731.67901507757,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001509,-191986.49847602562,-41431.305277703825,0.7272727272727273,0.2727272727272727,0.0
cosmx_bcc_xdonor_spot_0000001512,-191877.55150632863,-40291.956792855344,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001513,-191952.13483966194,-39978.810959522016,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001514,-191936.5931729953,-39601.12345952202,0.9583333333333334,0.0,0.0416666666666666
