patient,condition,type,n_cells,n_condition,fraction
PatientA,Ulcerated_nodular,Cancer.cells,10204,20730,0.492233
PatientA,Ulcerated_nodular,Endothelial,648,20730,0.031259
PatientA,Ulcerated_nodular,Fibroblast,4717,20730,0.227545
PatientA,Ulcerated_nodular,Melanocyte,303,20730,0.014616
PatientA,Ulcerated_nodular,MoMacDC,1464,20730,0.070622
PatientA,Ulcerated_nodular,Normal.Kerat,1541,20730,0.074337
PatientA,Ulcerated_nodular,Pericyte,284,20730,0.0137
PatientA,Ulcerated_nodular,PlasmaCell,1569,20730,0.075687
PatientB,Ulcerated_nodular,Cancer.cells,34538,41728,0.827694
PatientB,Ulcerated_nodular,Endothelial,495,41728,0.011863
PatientB,Ulcerated_nodular,Fibroblast,4405,41728,0.105565
PatientB,Ulcerated_nodular,Melanocyte,150,41728,0.003595
PatientB,Ulcerated_nodular,MoMacDC,423,41728,0.010137
PatientB,Ulcerated_nodular,Normal.Kerat,542,41728,0.012989
PatientB,Ulcerated_nodular,Pericyte,137,41728,0.003283
PatientB,Ulcerated_nodular,PlasmaCell,1038,41728,0.024875
PatientC,Baseline,Cancer.cells,16185,21291,0.76018
PatientC,Baseline,Endothelial,385,21291,0.018083
PatientC,Baseline,Fibroblast,2805,21291,0.131746
PatientC,Baseline,Melanocyte,574,21291,0.02696
PatientC,Baseline,MoMacDC,206,21291,0.009675
PatientC,Baseline,Normal.Kerat,821,21291,0.038561
PatientC,Baseline,Pericyte,123,21291,0.005777
PatientC,Baseline,PlasmaCell,192,21291,0.009018
PatientC,Unwound,Cancer.cells,41485,48293,0.859027
PatientC,Unwound,Endothelial,866,48293,0.017932
PatientC,Unwound,Fibroblast,3576,48293,0.074048
PatientC,Unwound,Melanocyte,437,48293,0.009049
PatientC,Unwound,MoMacDC,355,48293,0.007351
PatientC,Unwound,Normal.Kerat,415,48293,0.008593
PatientC,Unwound,Pericyte,405,48293,0.008386
PatientC,Unwound,PlasmaCell,754,48293,0.015613
PatientC,Wound,Cancer.cells,13896,20903,0.664785
PatientC,Wound,Endothelial,466,20903,0.022293
PatientC,Wound,Fibroblast,4185,20903,0.20021
PatientC,Wound,Melanocyte,475,20903,0.022724
PatientC,Wound,MoMacDC,731,20903,0.034971
PatientC,Wound,Normal.Kerat,669,20903,0.032005
PatientC,Wound,Pericyte,135,20903,0.006458
PatientC,Wound,PlasmaCell,346,20903,0.016553
PatientD,Baseline,Cancer.cells,15713,17729,0.886288
PatientD,Baseline,Endothelial,204,17729,0.011507
PatientD,Baseline,Fibroblast,1076,17729,0.060692
PatientD,Baseline,Melanocyte,92,17729,0.005189
PatientD,Baseline,MoMacDC,101,17729,0.005697
PatientD,Baseline,Normal.Kerat,177,17729,0.009984
PatientD,Baseline,Pericyte,255,17729,0.014383
PatientD,Baseline,PlasmaCell,111,17729,0.006261
PatientD,Unwound,Cancer.cells,15548,18530,0.839072
PatientD,Unwound,Endothelial,390,18530,0.021047
PatientD,Unwound,Fibroblast,1439,18530,0.077658
PatientD,Unwound,Melanocyte,286,18530,0.015434
PatientD,Unwound,MoMacDC,232,18530,0.01252
PatientD,Unwound,Normal.Kerat,192,18530,0.010362
PatientD,Unwound,Pericyte,144,18530,0.007771
PatientD,Unwound,PlasmaCell,299,18530,0.016136
PatientD,Wound,Cancer.cells,14970,27745,0.539557
PatientD,Wound,Endothelial,1334,27745,0.048081
PatientD,Wound,Fibroblast,5075,27745,0.182916
PatientD,Wound,Melanocyte,351,27745,0.012651
PatientD,Wound,MoMacDC,3512,27745,0.126581
PatientD,Wound,Normal.Kerat,1568,27745,0.056515
PatientD,Wound,Pericyte,443,27745,0.015967
PatientD,Wound,PlasmaCell,492,27745,0.017733
