pair,condition,type,n_spots,mean
D_from_C,Baseline,Cancer.cells,977,0.842511
D_from_C,Baseline,Endothelial,977,0.014568
D_from_C,Baseline,Fibroblast,977,0.088094
D_from_C,Baseline,Melanocyte,977,0.005483
D_from_C,Baseline,MoMacDC,977,0.007028
D_from_C,Baseline,Normal.Kerat,977,0.014711
D_from_C,Baseline,Pericyte,977,0.017413
D_from_C,Baseline,PlasmaCell,977,0.010191
D_from_C,Unwound,Cancer.cells,812,0.75184
D_from_C,Unwound,Endothelial,812,0.036308
D_from_C,Unwound,Fibroblast,812,0.120949
D_from_C,Unwound,Melanocyte,812,0.02061
D_from_C,Unwound,MoMacDC,812,0.014885
D_from_C,Unwound,Normal.Kerat,812,0.015816
D_from_C,Unwound,Pericyte,812,0.012144
D_from_C,Unwound,PlasmaCell,812,0.027448
D_from_C,Wound,Cancer.cells,1472,0.466526
D_from_C,Wound,Endothelial,1472,0.053217
D_from_C,Wound,Fibroblast,1472,0.210749
D_from_C,Wound,Melanocyte,1472,0.013755
D_from_C,Wound,MoMacDC,1472,0.128034
D_from_C,Wound,Normal.Kerat,1472,0.087523
D_from_C,Wound,Pericyte,1472,0.01724
D_from_C,Wound,PlasmaCell,1472,0.022956
