pair,type,mean,zero_rate,below_0_05,floor_min_type_cells
A_from_B,Cancer.cells,0.403494,0.365159,0.374372,50
A_from_B,Endothelial,0.038055,0.725293,0.745394,50
A_from_B,Fibroblast,0.263327,0.353434,0.378559,50
A_from_B,Melanocyte,0.013446,0.814908,0.871859,50
A_from_B,MoMacDC,0.080336,0.538526,0.569514,50
A_from_B,Normal.Kerat,0.103714,0.799832,0.814908,50
A_from_B,Pericyte,0.015842,0.848409,0.871022,50
A_from_B,PlasmaCell,0.081787,0.713568,0.730318,50
B_from_A,Cancer.cells,0.776276,0.091089,0.096535,50
B_from_A,Endothelial,0.01559,0.871782,0.891584,50
B_from_A,Fibroblast,0.125531,0.614356,0.665347,50
B_from_A,Melanocyte,0.005157,0.953465,0.968317,50
B_from_A,MoMacDC,0.012888,0.858911,0.89901,50
B_from_A,Normal.Kerat,0.024712,0.944554,0.95,50
B_from_A,Pericyte,0.003712,0.955446,0.969307,50
B_from_A,PlasmaCell,0.036134,0.857921,0.874752,50
D_from_C,Cancer.cells,0.650216,0.147194,0.157927,50
D_from_C,Endothelial,0.037427,0.766943,0.793008,50
D_from_C,Fibroblast,0.151641,0.520699,0.551671,50
D_from_C,Melanocyte,0.012984,0.845753,0.90647,50
D_from_C,MoMacDC,0.063606,0.727998,0.759276,50
D_from_C,Normal.Kerat,0.047853,0.880711,0.894511,50
D_from_C,Pericyte,0.016023,0.872432,0.894818,50
D_from_C,PlasmaCell,0.02025,0.860472,0.877645,50
