substrate,stratum,n_spots,truth_mean,estimate_mean,bias,mae,rmse,pcc
cosmx_bcc,Q1,1422,0.02432798708910002,0.03148081352842656,0.007152826439326536,0.03824721065343246,0.09034549441154938,0.23421528874413935
cosmx_bcc,Q2,1421,0.523735496548092,0.39390203323344664,-0.1298334633146454,0.16210838514084716,0.20212262328222108,0.8083924533197085
cosmx_bcc,Q3,1421,0.9294236788166139,0.8326267991663598,-0.09679687965025419,0.11055170944724804,0.15600148521529916,0.4589704212131157
cosmx_bcc,Q4,1422,1.0,0.9134164342385958,-0.08658356576140411,0.08658356576140411,0.13649516013560772,
openst,Q1,100,0.0,0.016154995448167755,0.016154995448167755,0.016154995448167755,0.041497911257955,
openst,Q2,100,0.0,0.00600794689112079,0.00600794689112079,0.00600794689112079,0.015813197077184347,
openst,Q3,100,0.1772699522699523,0.16818675356949753,-0.009083198700454771,0.05282051923797957,0.10144607696791282,0.9181664454235381
openst,Q4,100,0.9372734487734488,0.8700318118564474,-0.06724163691700148,0.0777301766344781,0.10312679613875174,0.7623804164140263
realgt,Q1,100,0.0,0.03458744019997701,0.03458744019997701,0.03458744019997701,0.10837394164042,
realgt,Q2,100,0.0,0.018712967409086113,0.018712967409086113,0.018712967409086113,0.06380517420395845,
realgt,Q3,100,0.09226916515902199,0.23022509033196875,0.13795592517294678,0.14921294795362564,0.2318034795384566,0.7793097978237619
realgt,Q4,100,0.7135782441417028,0.7986903252692766,0.08511208112757393,0.12946686992303938,0.16579564795256493,0.5452484287878563
realgt3,Q1,100,0.02127119779252007,0.027507666676365835,0.006236468883845767,0.03665517095676331,0.09002598890795273,0.18481101693087257
realgt3,Q2,100,0.48467767558351116,0.37021493134368433,-0.1144627442398267,0.1584908919621548,0.19657849415899467,0.8043343170572946
realgt3,Q3,100,0.9289184980449409,0.8173936811827217,-0.11152481686221906,0.12097661717576189,0.17512976323312313,0.5221568366999538
realgt3,Q4,100,1.0,0.917328181410577,-0.08267181858942291,0.08267181858942291,0.1332124782609744,
