substrate,fraction,seed,n_shared_genes,n_retained_genes,n_spots,historical_malignant,historical_neighbor,historical_cosine,historical_state,max_eligible_cosine,max_eligible_neighbor,max_eligible_state,malignant_rmse,overall_rmse,spot_pcc,platform_gate,fit_seconds,input_spots,input_reference
openst,0.5,101,4096,2048,400,Tumor,Tumor_Keratin_Pearl,0.946242088766892,ABSTAIN,0.9466839170037094,CAM,ABSTAIN,0.0839478026405843,0.1106409942298279,0.8491581574418828,0.0159378326938665,4.4834548789986,tmp-input-not-redistributed,tmp-input-not-redistributed
openst,0.5,102,4096,2048,400,Tumor,Tumor_Keratin_Pearl,0.987351437203678,ABSTAIN,0.987351437203678,Tumor_Keratin_Pearl,ABSTAIN,0.0841263426089817,0.1111339592937237,0.8462853171801871,0.0090475710334477,4.566619463999814,tmp-input-not-redistributed,tmp-input-not-redistributed
openst,0.5,103,4096,2048,400,Tumor,Tumor_Keratin_Pearl,0.965190185739226,ABSTAIN,0.965190185739226,Tumor_Keratin_Pearl,ABSTAIN,0.0856785783974016,0.1041039888204917,0.8672082770382294,0.0120440648071945,4.548148239999136,tmp-input-not-redistributed,tmp-input-not-redistributed
openst,0.75,101,4096,3072,400,Tumor,Tumor_Keratin_Pearl,0.9615437743040828,ABSTAIN,0.9615437743040828,Tumor_Keratin_Pearl,ABSTAIN,0.0803061929360161,0.1007313138990689,0.8760908932028092,0.0141455429969556,7.029388497001492,tmp-input-not-redistributed,tmp-input-not-redistributed
openst,0.75,102,4096,3072,400,Tumor,Tumor_Keratin_Pearl,0.9782972955801256,ABSTAIN,0.9782972955801256,Tumor_Keratin_Pearl,ABSTAIN,0.0787562026797458,0.0997785442426418,0.8790875760382121,0.0148520262882335,7.07330576899767,tmp-input-not-redistributed,tmp-input-not-redistributed
openst,0.75,103,4096,3072,400,Tumor,Tumor_Keratin_Pearl,0.9822043945610418,ABSTAIN,0.9822043945610418,Tumor_Keratin_Pearl,ABSTAIN,0.0767461141440698,0.0973356926212162,0.8840590441958445,0.0137151579193933,6.996015643999272,tmp-input-not-redistributed,tmp-input-not-redistributed
openst,1.0,0,4096,4096,400,Tumor,Tumor_Keratin_Pearl,0.9726782006904068,ABSTAIN,0.9726782006904068,Tumor_Keratin_Pearl,ABSTAIN,0.0761644598967737,0.0971581518822494,0.8839444981171063,0.0132007567482894,10.064405389999592,tmp-input-not-redistributed,tmp-input-not-redistributed
realgt,0.5,101,307,154,400,Invasive_Tumor,Prolif_Invasive_Tumor,0.9814689311950496,ABSTAIN,0.9814689311950496,Prolif_Invasive_Tumor,ABSTAIN,0.1372746430841352,0.1101680938987902,0.7164588937441744,0.0720762177545378,0.3823845949991664,tmp-input-not-redistributed,tmp-input-not-redistributed
realgt,0.5,102,307,154,400,Invasive_Tumor,Prolif_Invasive_Tumor,0.9916752035889268,ABSTAIN,0.9916752035889268,Prolif_Invasive_Tumor,ABSTAIN,0.2006184108883167,0.1188554962521127,0.6956054476948069,0.0618981479314716,0.4008033710015297,tmp-input-not-redistributed,tmp-input-not-redistributed
realgt,0.5,103,307,154,400,Invasive_Tumor,Prolif_Invasive_Tumor,0.9639381952956622,ABSTAIN,0.9639381952956622,Prolif_Invasive_Tumor,ABSTAIN,0.1717904613347682,0.0917936302954863,0.8124631270931282,0.0950242100968699,0.392175953998958,tmp-input-not-redistributed,tmp-input-not-redistributed
