substrate,malignant_truth_quartile,n_defined,n_zero_retained_truth,mean_malignant_truth,conditional_neighbor_bias,raw_neighbor_bias,merged_mass_bias
openst,1,100,0,0.0,0.003952007200020992,0.0036795987290989037,0.019834594177266657
openst,2,100,0,0.0,0.006491709004272786,0.00647948340397724,0.01248743029509803
openst,3,100,0,0.1772699522699523,0.012904615390091318,0.012199478615396397,0.003116279914941626
openst,4,34,66,0.81551014345132,0.09019431210126032,0.027772701565621092,-0.04061898813034829
realgt,1,100,0,0.0,0.016048494561806282,0.01229577426515567,0.04688321446513268
realgt,2,100,0,0.0,0.00910924867871814,0.007073865133617345,0.025786832542703454
realgt,3,100,0,0.09226916515902199,0.032623268588820156,0.013043683648846206,0.15099960882179297
realgt,4,97,3,0.7047198393213431,0.028217759674188398,0.002121223974773767,0.0917008614602389
realgt3,1,100,0,0.02127119779252007,-0.02664249334621445,-0.03419669027235126,-0.0279602213885055
realgt3,2,100,0,0.48467767558351116,-0.017184004915505317,-0.0003027184689217603,-0.11476546270874848
realgt3,3,91,9,0.9218884593900449,0.046756465740049505,0.01409241003414796,-0.10385361294094483
realgt3,4,0,100,,,,
