library,platform_family,malignant,neighbor,cosine,n_ref_cells,designated,decision,eligible,eligibility_reason
CosMx CRC,cosmx_carcinoma,tumor,B.activated,0.677968,275,False,KEEP,True,eligible
CosMx CRC,cosmx_carcinoma,tumor,BEC,0.791305,2874,False,KEEP,True,eligible
CosMx CRC,cosmx_carcinoma,tumor,IAF_MMP,0.668075,566,False,KEEP,True,eligible
CosMx CRC,cosmx_carcinoma,tumor,LEC,0.722185,443,False,KEEP,True,eligible
CosMx CRC,cosmx_carcinoma,tumor,PC_IgA1,0.070678,3284,False,KEEP,True,eligible
CosMx CRC,cosmx_carcinoma,tumor,PC_IgD,0.324504,4827,False,KEEP,True,eligible
CosMx CRC,cosmx_carcinoma,tumor,PC_IgG,0.105119,2504,False,KEEP,True,eligible
CosMx CRC,cosmx_carcinoma,tumor,PC_IgM,0.103759,485,False,KEEP,True,eligible
CosMx CRC,cosmx_carcinoma,tumor,TAM,0.613845,5346,False,KEEP,True,eligible
CosMx CRC,cosmx_carcinoma,tumor,Tc,0.692023,863,False,KEEP,True,eligible
CosMx CRC,cosmx_carcinoma,tumor,Th,0.725414,6766,False,KEEP,True,eligible
CosMx CRC,cosmx_carcinoma,tumor,cDC,0.739574,2813,False,KEEP,True,eligible
CosMx CRC,cosmx_carcinoma,tumor,fibroblast,0.505826,27401,True,KEEP,True,eligible
CosMx CRC,cosmx_carcinoma,tumor,nan,0.745462,14757,False,KEEP,False,non-annotated placeholder
CosMx CRC,cosmx_carcinoma,tumor,neutrophil,0.589742,509,False,KEEP,True,eligible
CosMx CRC,cosmx_carcinoma,tumor,pericytes,0.755165,6872,False,KEEP,True,eligible
CosMx NSCLC,cosmx_carcinoma,tumor,B-cell,0.779039,7090,False,KEEP,True,eligible
CosMx NSCLC,cosmx_carcinoma,tumor,NK,0.792788,1748,False,KEEP,True,eligible
CosMx NSCLC,cosmx_carcinoma,tumor,T CD4 memory,0.683399,179,False,KEEP,True,eligible
CosMx NSCLC,cosmx_carcinoma,tumor,T CD4 naive,0.814309,8237,False,ABSTAIN,True,eligible
CosMx NSCLC,cosmx_carcinoma,tumor,T CD8 memory,0.629121,26,False,KEEP,True,eligible
CosMx NSCLC,cosmx_carcinoma,tumor,T CD8 naive,0.790527,1822,False,KEEP,True,eligible
CosMx NSCLC,cosmx_carcinoma,tumor,Treg,0.661733,56,False,KEEP,True,eligible
CosMx NSCLC,cosmx_carcinoma,tumor,endothelial,0.787382,7478,False,KEEP,True,eligible
CosMx NSCLC,cosmx_carcinoma,tumor,epithelial,0.847336,3712,False,ABSTAIN,True,eligible
CosMx NSCLC,cosmx_carcinoma,tumor,fibroblast,0.648151,12294,True,KEEP,True,eligible
CosMx NSCLC,cosmx_carcinoma,tumor,mDC,0.652399,4202,False,KEEP,True,eligible
CosMx NSCLC,cosmx_carcinoma,tumor,macrophage,0.648776,6729,False,KEEP,True,eligible
CosMx NSCLC,cosmx_carcinoma,tumor,mast,0.624016,2569,False,KEEP,True,eligible
CosMx NSCLC,cosmx_carcinoma,tumor,monocyte,0.759146,1767,False,KEEP,True,eligible
CosMx NSCLC,cosmx_carcinoma,tumor,neutrophil,0.733664,13277,False,KEEP,True,eligible
CosMx NSCLC,cosmx_carcinoma,tumor,pDC,0.694951,1963,False,KEEP,True,eligible
CosMx NSCLC,cosmx_carcinoma,tumor,plasmablast,0.544303,8076,False,KEEP,True,eligible
CosMx HCC,cosmx_carcinoma,tumor,Antibody.secreting.B.cells,0.261389,1236,False,KEEP,True,eligible
CosMx HCC,cosmx_carcinoma,tumor,CD3+.alpha.beta.T.cells,0.854095,20083,False,ABSTAIN,True,eligible
CosMx HCC,cosmx_carcinoma,tumor,Central.venous.LSECs,0.825098,2138,False,ABSTAIN,True,eligible
CosMx HCC,cosmx_carcinoma,tumor,Cholangiocytes,0.611077,1411,False,KEEP,True,eligible
CosMx HCC,cosmx_carcinoma,tumor,Erthyroid.cells,0.417553,139,False,KEEP,True,eligible
CosMx HCC,cosmx_carcinoma,tumor,Hep,0.571128,1204,False,KEEP,True,eligible
