library,cutoff,designated_cosine,designated_decision,max_eligible_cosine,max_eligible_decision
CosMx CRC,0.75,0.505826,KEEP,0.791305,ABSTAIN
CosMx CRC,0.76,0.505826,KEEP,0.791305,ABSTAIN
CosMx CRC,0.77,0.505826,KEEP,0.791305,ABSTAIN
CosMx CRC,0.78,0.505826,KEEP,0.791305,ABSTAIN
CosMx CRC,0.79,0.505826,KEEP,0.791305,ABSTAIN
CosMx CRC,0.8,0.505826,KEEP,0.791305,KEEP
CosMx CRC,0.81,0.505826,KEEP,0.791305,KEEP
CosMx CRC,0.82,0.505826,KEEP,0.791305,KEEP
CosMx CRC,0.83,0.505826,KEEP,0.791305,KEEP
CosMx CRC,0.84,0.505826,KEEP,0.791305,KEEP
CosMx CRC,0.85,0.505826,KEEP,0.791305,KEEP
CosMx NSCLC,0.75,0.648151,KEEP,0.847336,ABSTAIN
CosMx NSCLC,0.76,0.648151,KEEP,0.847336,ABSTAIN
CosMx NSCLC,0.77,0.648151,KEEP,0.847336,ABSTAIN
CosMx NSCLC,0.78,0.648151,KEEP,0.847336,ABSTAIN
CosMx NSCLC,0.79,0.648151,KEEP,0.847336,ABSTAIN
CosMx NSCLC,0.8,0.648151,KEEP,0.847336,ABSTAIN
CosMx NSCLC,0.81,0.648151,KEEP,0.847336,ABSTAIN
CosMx NSCLC,0.82,0.648151,KEEP,0.847336,ABSTAIN
CosMx NSCLC,0.83,0.648151,KEEP,0.847336,ABSTAIN
CosMx NSCLC,0.84,0.648151,KEEP,0.847336,ABSTAIN
CosMx NSCLC,0.85,0.648151,KEEP,0.847336,KEEP
CosMx HCC,0.75,0.648597,KEEP,0.854095,ABSTAIN
CosMx HCC,0.76,0.648597,KEEP,0.854095,ABSTAIN
CosMx HCC,0.77,0.648597,KEEP,0.854095,ABSTAIN
CosMx HCC,0.78,0.648597,KEEP,0.854095,ABSTAIN
CosMx HCC,0.79,0.648597,KEEP,0.854095,ABSTAIN
CosMx HCC,0.8,0.648597,KEEP,0.854095,ABSTAIN
CosMx HCC,0.81,0.648597,KEEP,0.854095,ABSTAIN
CosMx HCC,0.82,0.648597,KEEP,0.854095,ABSTAIN
CosMx HCC,0.83,0.648597,KEEP,0.854095,ABSTAIN
CosMx HCC,0.84,0.648597,KEEP,0.854095,ABSTAIN
CosMx HCC,0.85,0.648597,KEEP,0.854095,ABSTAIN
CosMx PDAC,0.75,0.861599,ABSTAIN,0.905088,ABSTAIN
CosMx PDAC,0.76,0.861599,ABSTAIN,0.905088,ABSTAIN
CosMx PDAC,0.77,0.861599,ABSTAIN,0.905088,ABSTAIN
CosMx PDAC,0.78,0.861599,ABSTAIN,0.905088,ABSTAIN
CosMx PDAC,0.79,0.861599,ABSTAIN,0.905088,ABSTAIN
CosMx PDAC,0.8,0.861599,ABSTAIN,0.905088,ABSTAIN
CosMx PDAC,0.81,0.861599,ABSTAIN,0.905088,ABSTAIN
CosMx PDAC,0.82,0.861599,ABSTAIN,0.905088,ABSTAIN
CosMx PDAC,0.83,0.861599,ABSTAIN,0.905088,ABSTAIN
CosMx PDAC,0.84,0.861599,ABSTAIN,0.905088,ABSTAIN
CosMx PDAC,0.85,0.861599,ABSTAIN,0.905088,ABSTAIN
openST,0.75,0.972678,ABSTAIN,0.972678,ABSTAIN
openST,0.76,0.972678,ABSTAIN,0.972678,ABSTAIN
openST,0.77,0.972678,ABSTAIN,0.972678,ABSTAIN
openST,0.78,0.972678,ABSTAIN,0.972678,ABSTAIN
openST,0.79,0.972678,ABSTAIN,0.972678,ABSTAIN
openST,0.8,0.972678,ABSTAIN,0.972678,ABSTAIN
openST,0.81,0.972678,ABSTAIN,0.972678,ABSTAIN
