,Cancer.cells,Endothelial,Fibroblast,Melanocyte,MoMacDC,Normal.Kerat,Pericyte,PlasmaCell
cosmx_bcc_xdonor_spot_0000000012,0.9999999999999889,1.5573196012862226e-15,1.5573196012862226e-15,1.5573196012862226e-15,1.5573196012862226e-15,1.5573196012862226e-15,1.5573196012862226e-15,1.5573196012862226e-15
cosmx_bcc_xdonor_spot_0000000013,0.9999999997843376,1.6035442088524431e-15,1.6035442088524431e-15,1.6035442088524431e-15,1.6035442088524431e-15,1.6035442088524431e-15,2.1565251856856626e-10,1.6035442088524431e-15
cosmx_bcc_xdonor_spot_0000000014,0.9821509626450965,4.777482288772507e-10,1.6609246230452381e-15,1.6609246230452381e-15,0.0028852933418713265,1.4608697515955649e-06,0.014962282665527123,1.6609246230452381e-15
cosmx_bcc_xdonor_spot_0000000015,0.9492478277569509,2.9068383963032428e-09,0.05075216932829475,6.892502795791325e-12,1.6795405148999395e-15,1.6795405148999395e-15,1.0182605939570723e-12,1.6795405148999395e-15
cosmx_bcc_xdonor_spot_0000000016,0.9980615846906049,1.6816768847056404e-15,1.6816768847056404e-15,1.6816768847056404e-15,1.6816768847056404e-15,7.181080441815174e-06,3.946227004921827e-08,0.001931194766676333
cosmx_bcc_xdonor_spot_0000000017,0.9999999700466393,1.5196885797523782e-15,1.5196885797523782e-15,1.5196885797523782e-15,1.5196885797523782e-15,1.5196885797523782e-15,2.9953351388181845e-08,1.5196885797523782e-15
cosmx_bcc_xdonor_spot_0000000018,0.9931240692187447,1.4984740016099645e-15,0.006875920280174105,1.4984740016099645e-15,1.4984740016099645e-15,1.4984740016099645e-15,1.0501073479461059e-08,1.4984740016099645e-15
cosmx_bcc_xdonor_spot_0000000020,0.9999999999999887,1.5763054402328497e-15,1.5763054402328497e-15,1.5763054402328497e-15,1.5763054402328497e-15,1.5763054402328497e-15,1.5763054402328497e-15,1.5763054402328497e-15
cosmx_bcc_xdonor_spot_0000000021,0.9999999999999887,1.5766271656564905e-15,1.5766271656564905e-15,1.5766271656564905e-15,1.5766271656564905e-15,1.5766271656564905e-15,1.5766271656564905e-15,1.5766271656564905e-15
cosmx_bcc_xdonor_spot_0000000022,0.9999999999996885,1.6579100152241779e-15,1.6579100152241779e-15,3.014130040138282e-13,1.6579100152241779e-15,1.6579100152241779e-15,1.6579100152241779e-15,1.6579100152241779e-15
